cross_quadrant_risk,decision,evidence_score,family_count,ladder,proposed_arousal,proposed_emotion,proposed_valence,reason_codes,same_quadrant,sample_id,source_count,transition
False,accept_safe,24.0,7,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0112,14,calm->content
False,accept_safe,24.0,7,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0347,14,calm->content
False,accept_safe,24.0,7,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0798,14,calm->content
False,accept_safe,24.0,7,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0960,14,calm->content
False,accept_safe,23.0,7,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0745,13,calm->content
False,accept_safe,16.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0147,10,calm->content
False,accept_safe,16.0,5,v6_safe_sameq,High,excited,Positive,same_quadrant_multi_source_support,True,track2_0316,10,happy->excited
False,accept_safe,16.0,5,v6_safe_sameq,High,excited,Positive,same_quadrant_multi_source_support,True,track2_0635,10,happy->excited
False,accept_safe,16.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0638,10,calm->content
False,accept_safe,16.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0642,10,calm->content
False,accept_safe,16.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0975,10,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0028,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0045,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0047,9,calm->content
False,accept_safe,15.0,5,v6_safe_sameq,Low,content,Positive,same_quadrant_multi_source_support,True,track2_0102,9,calm->content
