sample_id,gate_tier,recommended_action,selected_label,selected_image_path,why,risk_note
track1_0077,accept_but_visual_check,visual_check_before_accept,aas_safe,experiments/track1_reference_conditioned_pilot_20260603/moe_antitemplate_smoke3_20260605/images/track1_0077_aas_safe_c01.png,"AI redteam prefers aas_safe because Cyrillic and naval poster style are much cleaner than current.","Need human check that caption-requested warship panels/sea battle panels are not lost."
track1_0353,keep_current_block,keep_current,current,submissions/track1/images/track1_0353.jpg,"AI redteam prefers current; candidates introduce hand/weapon/border artifacts despite good typography.","No replacement unless a later human review clearly prefers a cleaner candidate."
track1_0370,duplicate_or_conflict_resolution,visual_conflict_review,reference_style,experiments/track1_reference_conditioned_pilot_20260603/moe_antitemplate_smoke3_20260605/images/track1_0370_reference_style_c01.png,"AI redteam found an extra-hand defect in current and prefers reference_style.","Conflicts with prior visual preference for current; must be human-reviewed at full resolution before any replacement."
track1_0476,keep_current_block,keep_current,current,submissions/track1/images/track1_0476.jpg,"AI redteam prefers current; new variants have anachronistic ship/rope/cannonball issues.","Keep current unless a targeted rerun fixes maritime spatial logic."
track1_0593,keep_current_block,keep_current,current,submissions/track1/images/track1_0593.jpg,"AI redteam prefers current; only aas_safe was generated and it has footer microtext and weaker sword grip.","No replacement in this batch; missing other strategies are budget choice, not generation failure."
track1_0665,high_precision_accept,accept_pending_final_visual,aas_safe,experiments/track1_reference_conditioned_pilot_20260603/moe_antitemplate_smoke3_20260605/images/track1_0665_aas_safe_c01.png,"AI redteam prefers aas_safe; it fixes current gibberish banner text and keeps medal/ribbon/Kremlin/crowd/fireworks.","Final human check should verify medal/ribbon details and no unwanted microtext."
track1_0708,accept_but_visual_check,visual_check_before_accept,reference_style,experiments/track1_reference_conditioned_pilot_20260603/moe_antitemplate_smoke3_20260605/images/track1_0708_reference_style_c01.png,"AI redteam prefers reference_style because current likely has Cyrillic spelling error and candidate preserves soldier/flag/battlefield composition.","Human check should confirm front soldier weapon, banner placement, and no cropped text."
track1_0747,rerun_or_hold,hold_or_targeted_rerun,current,submissions/track1/images/track1_0747.jpg,"AI redteam prefers current over these candidates; candidates still do not clearly solve mounted-soldier/civilian relation risk.","Do not accept any new candidate here until blind relation review confirms protection/evacuation rather than pursuit/attack."
track1_0803,high_precision_accept,accept_pending_final_visual,aas_safe,experiments/track1_reference_conditioned_pilot_20260603/moe_antitemplate_smoke3_20260605/images/track1_0803_aas_safe_c01.png,"AI redteam prefers aas_safe; it fixes current gibberish text and renders Kremlin plus Soviet/US/UK flags more cleanly.","Final check should verify flag geometry and Kremlin tower/red star are plausible."
track1_0898,high_precision_accept,accept_pending_final_visual,aas_safe,experiments/track1_reference_conditioned_pilot_20260603/moe_antitemplate_smoke3_20260605/images/track1_0898_aas_safe_c01.png,"AI redteam prefers aas_safe; it avoids current duplicate hammer-sickle flag issue and keeps snowy charge/poster typography.","Final check should verify rifle/flag/body interaction at full resolution."
