cross_quadrant_risk,current_arousal,current_emotion,current_valence,evidence_score,gemini35_fit_margin,gemini35_objection,gemini35_prefers_proposed,hard96_net_gain,hard96_net_loss,human_confirmed,malformed,malformed_reasons,proposed_arousal,proposed_emotion,proposed_valence,public_reference_contradiction,public_reference_support,same_quadrant,sample_id,supporting_families,supporting_family_count,supporting_source_count,supporting_sources,transition,vulca_objection
False,Low,calm,Positive,24.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0112,label_rubric;model;public_reference;public_style;safe_human;selective;teacher,7,14,balanced;dinov2;ensemble;gemini35_guarded;label_auto;label_selective;public_conservative10;public_landscape8;public_ref_auto;public_review11;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,24.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0347,label_rubric;model;public_reference;public_style;safe_human;selective;teacher,7,14,balanced;dinov2;ensemble;gemini35_guarded;label_auto;label_selective;public_conservative10;public_landscape8;public_ref_auto;public_review11;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,24.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0798,label_rubric;model;public_reference;public_style;safe_human;selective;teacher,7,14,balanced;dinov2;ensemble;gemini35_guarded;label_auto;label_selective;public_conservative10;public_landscape8;public_ref_auto;public_review11;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,24.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0960,label_rubric;model;public_reference;public_style;safe_human;selective;teacher,7,14,balanced;dinov2;ensemble;gemini35_guarded;label_auto;label_selective;public_conservative10;public_landscape8;public_ref_auto;public_review11;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,23.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0745,label_rubric;model;public_reference;public_style;safe_human;selective;teacher,7,13,balanced;dinov2;gemini35_guarded;label_auto;label_selective;public_conservative10;public_landscape8;public_ref_auto;public_review11;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,16.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0147,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,High,happy,Positive,16.0,0.0,False,False,0,0,False,False,,High,excited,Positive,False,False,True,track2_0316,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,happy->excited,False
False,High,happy,Positive,16.0,0.0,False,False,0,0,False,False,,High,excited,Positive,False,False,True,track2_0635,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,happy->excited,False
False,Low,calm,Positive,16.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0638,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
False,Low,calm,Positive,16.0,0.0,False,False,0,0,False,False,,Low,content,Positive,False,False,True,track2_0642,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content,False
