all_sources,current_arousal,current_emotion,current_label_issue_count,current_valence,exact_duplicate,failed_transition_count,max_confidence,model_sources,model_support_score,model_vote_count,near_duplicate,proposed_arousal,proposed_emotion,proposed_valence,public_duplicate_support_score,public_style_support_score,rationale,same_arousal,same_quadrant,same_valence,sample_id,support_score,transition,v21_decision,v21_reasons,v21_score,v21_tier
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.960524,"clip,dinov2,siglip2",2.471994,3,True,Low,calm,Positive,0.960524,0.673441,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,True,track2_0869,4.105959,content->calm,accept_candidate,public_duplicate_or_near_duplicate_reference,5.351257,reference
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.967328,"clip,dinov2,siglip2",2.339964,3,True,Low,calm,Positive,0.967328,0.719026,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,True,track2_0210,4.026318,content->calm,accept_candidate,public_duplicate_or_near_duplicate_reference,5.276848,reference
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.96074,"clip,dinov2,siglip2",2.41318,3,True,Low,calm,Positive,0.96074,0.625225,near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,True,track2_0555,3.999145,content->calm,accept_candidate,public_duplicate_or_near_duplicate_reference,5.241133,reference
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.957695,"clip,dinov2,siglip2",2.250468,3,True,Low,calm,Positive,0.957695,0.701004,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,True,track2_0871,3.909167,content->calm,accept_candidate,public_duplicate_or_near_duplicate_reference,5.155546,reference
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.952827,"clip,dinov2,siglip2",2.306019,3,True,Low,calm,Positive,0.952827,0.610013,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,True,track2_0914,3.868859,content->calm,accept_candidate,public_duplicate_or_near_duplicate_reference,5.107408,reference
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,0,0.950433,"clip,dinov2,siglip2",2.312308,3,True,High,excited,Positive,0.950433,0.573747,near_public_duplicate supports excited | near_public_duplicate supports excited,False,False,True,track2_0382,3.836488,content->excited,accept_candidate,public_duplicate_or_near_duplicate_reference,5.07178,reference
"clip,public_clean,public_inclusive,public_near_public_duplicate,siglip2",High,aroused,0,Positive,False,0,0.954631,"clip,siglip2",0.49765,2,True,Low,calm,Positive,0.954631,0.223716,near_public_duplicate supports calm | near_public_duplicate supports calm,False,False,True,track2_0873,1.675997,aroused->calm,accept_candidate,public_duplicate_or_near_duplicate_reference,2.768046,reference
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.812231,"clip,dinov2,siglip2",2.790692,3,False,Low,calm,Positive,0.0,0.748934,,True,False,False,track2_0505,3.539626,tired->calm,accept_candidate,model_family_and_public_style_consensus,4.26703,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.865907,"clip,dinov2,siglip2",2.597926,3,False,Low,calm,Positive,0.0,0.85504,,True,True,True,track2_0956,3.452966,content->calm,accept_candidate,model_family_and_public_style_consensus,4.192091,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.788351,"clip,dinov2,siglip2",2.674845,3,False,Low,calm,Positive,0.0,0.782795,,True,True,True,track2_0765,3.45764,content->calm,accept_candidate,model_family_and_public_style_consensus,4.185504,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.788968,"clip,dinov2,siglip2",2.674829,3,False,Low,calm,Positive,0.0,0.778564,,True,True,True,track2_0651,3.453393,content->calm,accept_candidate,model_family_and_public_style_consensus,4.18101,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.830776,"clip,dinov2,siglip2",2.618962,3,False,Low,calm,Positive,0.0,0.762277,,True,True,True,track2_0410,3.381239,content->calm,accept_candidate,model_family_and_public_style_consensus,4.11106,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.78318,"clip,dinov2,siglip2",2.663235,3,False,Low,calm,Positive,0.0,0.709141,,True,True,True,track2_0044,3.372376,content->calm,accept_candidate,model_family_and_public_style_consensus,4.09467,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.783169,"clip,dinov2,siglip2",2.617604,3,False,Low,calm,Positive,0.0,0.750502,,True,True,True,track2_0880,3.368106,content->calm,accept_candidate,model_family_and_public_style_consensus,4.093295,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.749026,"clip,dinov2,siglip2",2.586274,3,False,Low,calm,Positive,0.0,0.719396,,True,True,True,track2_0942,3.30567,content->calm,accept_candidate,model_family_and_public_style_consensus,4.02595,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.755085,"clip,dinov2,siglip2",2.551767,3,False,Low,calm,Positive,0.0,0.723905,,True,True,True,track2_0580,3.275672,content->calm,accept_candidate,model_family_and_public_style_consensus,3.996752,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.779179,"clip,dinov2,siglip2",2.523067,3,False,Low,calm,Positive,0.0,0.744238,,True,True,True,track2_0704,3.267305,content->calm,accept_candidate,model_family_and_public_style_consensus,3.991736,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.740614,"clip,dinov2,siglip2",2.508492,3,False,Low,calm,Positive,0.0,0.740614,,True,True,True,track2_0515,3.249106,content->calm,accept_candidate,model_family_and_public_style_consensus,3.970198,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.806466,"clip,dinov2,siglip2",2.629418,3,False,Low,calm,Positive,0.0,0.621628,,True,True,True,track2_0718,3.251046,content->calm,accept_candidate,model_family_and_public_style_consensus,3.969077,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.776759,"clip,dinov2,siglip2",2.508392,3,False,Low,calm,Positive,0.0,0.710486,,True,True,True,track2_0941,3.218878,content->calm,accept_candidate,model_family_and_public_style_consensus,3.940753,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.763472,"clip,dinov2,siglip2",2.475075,3,False,Low,calm,Positive,0.0,0.702784,,True,True,True,track2_0270,3.177859,content->calm,accept_candidate,model_family_and_public_style_consensus,3.898132,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,3,0.822765,"clip,dinov2,siglip2",2.598094,3,False,Low,sad,Negative,0.0,0.531637,,True,True,True,track2_0196,3.129731,tired->sad,accept_candidate,model_family_and_public_style_consensus,3.842767,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.717836,"clip,dinov2,siglip2",2.392913,3,False,Low,calm,Positive,0.0,0.717836,,True,True,True,track2_0280,3.110749,content->calm,accept_candidate,model_family_and_public_style_consensus,3.828424,consensus
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,20,0.715888,"clip,dinov2,siglip2",2.420368,3,False,Low,calm,Positive,0.0,0.668897,,True,True,True,track2_0809,3.089265,content->calm,accept_candidate,model_family_and_public_style_consensus,3.803359,consensus
