sample_id,in_b80,in_b120,in_b160,source,tier,priority,score,caption,v3_image,candidate_image
track1_0792,True,True,True,pilot100_human24_package_diff,human_review,78000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0792.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_pilot100_human24_20260603/images/track1_0792.jpg
track1_0802,True,True,True,pilot100_human24_package_diff,human_review,78000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0802.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_pilot100_human24_20260603/images/track1_0802.jpg
track1_0831,True,True,True,pilot100_human24_package_diff,human_review,78000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0831.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_pilot100_human24_20260603/images/track1_0831.jpg
track1_0884,True,True,True,pilot100_human24_package_diff,human_review,78000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0884.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_pilot100_human24_20260603/images/track1_0884.jpg
track1_0898,True,True,True,pilot100_human24_package_diff,human_review,78000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0898.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_pilot100_human24_20260603/images/track1_0898.jpg
track1_0901,True,True,True,pilot100_human24_package_diff,human_review,78000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0901.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_pilot100_human24_20260603/images/track1_0901.jpg
track1_0920,True,True,True,pilot100_human24_package_diff,human_review,78000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0920.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_pilot100_human24_20260603/images/track1_0920.jpg
track1_0971,True,True,True,pilot100_human24_package_diff,human_review,78000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0971.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_pilot100_human24_20260603/images/track1_0971.jpg
track1_0069,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0069.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0069.jpg
track1_0298,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0298.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0298.jpg
track1_0538,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0538.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0538.jpg
track1_0657,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0657.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0657.jpg
track1_0727,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0727.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0727.jpg
track1_0730,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0730.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0730.jpg
track1_0772,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0772.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0772.jpg
track1_0779,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0779.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0779.jpg
track1_0905,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0905.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0905.jpg
track1_0907,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0907.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0907.jpg
track1_0934,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0934.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0934.jpg
track1_0936,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0936.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0936.jpg
track1_0943,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0943.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0943.jpg
track1_0949,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0949.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0949.jpg
track1_0950,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0950.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0950.jpg
track1_0954,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0954.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0954.jpg
track1_0959,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0959.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0959.jpg
track1_0968,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0968.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0968.jpg
track1_0970,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0970.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0970.jpg
track1_0979,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0979.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0979.jpg
track1_0980,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0980.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0980.jpg
track1_0984,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0984.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0984.jpg
track1_0991,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0991.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0991.jpg
track1_0994,True,True,True,safe_subset_package_diff,safe_subset,85000,0.0,,submissions/track1_candidate_v3_gate7_20260606/images/track1_0994.jpg,/Users/yhryzy/dev/emoart-130k/submissions/track1_candidate_v2_safe_subset_20260606/images/track1_0994.jpg
track1_0019,True,True,True,v5_human_accept48,caption_faithful_guard,100000,40.0,"Socialist Realism poster of four heroic soldiers in tan uniforms standing with rifles against a blue sky, rendered with bold angular brushstrokes, warm earthy colors, and a solemn monumental composition.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0019.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0019_caption_faithful_guard_c01.png
track1_0063,True,True,True,v5_human_accept48,caption_faithful_guard,100000,41.0,"Ink and wash painting of a serene mountainous landscape with layered peaks, trees, a winding stream, calligraphy, seals, and delicate monochrome brushwork on a hanging scroll.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0063.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0063_caption_faithful_guard_c01.png
track1_0077,True,True,True,v5_human_accept48,caption_faithful_guard,100000,48.0,"A Socialist Realism Soviet naval propaganda poster with a sailor hoisting red and white flags before panels of warships and sea battles, using bold Cyrillic typography, patriotic red accents, and a solemn heroic composition.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0077.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0077_caption_faithful_guard_c01.png
track1_0091,True,True,True,v5_human_accept48,caption_faithful_guard,100000,47.0,"A Socialist Realism poster of a uniformed border guard saluting joyful passengers leaning from a train window beside a red and green frontier post, with bold Cyrillic lettering, muted washes, and a solemn patriotic mood.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0091.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0091_caption_faithful_guard_c01.png
track1_0102,True,True,True,v5_human_accept48,caption_faithful_guard,100000,29.0,"A Gongbi handscroll scene with delicate linework and muted silk tones, featuring calligraphy beside an ancient procession of riders and attendants beneath pine trees in a calm mountainous landscape.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0102.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0102_caption_faithful_guard_c01.png
track1_0128,True,True,True,v5_human_accept48,caption_faithful_guard,100000,46.0,"Socialist Realism poster of Soviet soldiers marching beside a tank with red banners, celebratory flowers, and bold Cyrillic slogans in a patriotic, triumphant composition.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0128.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0128_caption_faithful_guard_c01.png
track1_0151,True,True,True,v5_human_accept48,caption_faithful_guard,100000,32.0,"A Socialist Realism propaganda poster on aged folded paper, with bold Cyrillic lettering and dramatic Soviet soldiers charging with rifles and bayonets against historical Prussian figures, using muted greens, reds, and tan tones.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0151.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0151_caption_faithful_guard_c01.png
track1_0160,True,True,True,v5_human_accept48,caption_faithful_guard,100000,31.0,"A Socialist Realism Soviet poster with a vast red banner bearing Stalin’s profile above the Kremlin tower, crossed by dramatic searchlights against a dark night sky in a bold red and orange palette.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0160.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0160_caption_faithful_guard_c01.png
track1_0353,True,True,True,v5_human_accept48,caption_faithful_guard,100000,36.0,"A Socialist Realism Soviet poster-style scene with a jubilant crowd of soldiers and civilians watching fireworks over the Kremlin and Red Square beneath bold Cyrillic lettering, rendered in a vintage muted palette with dramatic light and shadow.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0353.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0353_caption_faithful_guard_c01.png
track1_0476,True,True,True,v5_human_accept48,caption_faithful_guard,100000,45.0,"A Socialist Realism propaganda poster with bold Cyrillic lettering, a naval medal, sailing ships, cannon, and uniformed sailors in a dramatic maritime battle scene rendered with graphic linework and muted watercolor tones.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0476.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0476_caption_faithful_guard_c01.png
track1_0491,True,True,True,v5_human_accept48,caption_faithful_guard,100000,35.0,"A Socialist Realism Soviet agricultural poster with a farm woman holding a basket of vegetables before green fields, surrounded by abundant produce, bold Cyrillic lettering, bright flat colors, and strong poster-like composition.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0491.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0491_caption_faithful_guard_c01.png
track1_0534,True,True,True,v5_human_accept48,caption_faithful_guard,100000,39.0,"A Socialist Realism propaganda poster with a Soviet soldier embracing a woman in traditional embroidered clothing beneath red banners, a Soviet emblem, and bold Cyrillic lettering, rendered in strong graphic colors and heroic composition.",submissions/track1_candidate_v3_gate7_20260606/images/track1_0534.jpg,experiments/track1_v5_smoke_20260608/generated/images/track1_0534_caption_faithful_guard_c01.png
