classification_actionability,description_actionability,label_arbitration_allowed,merge_group,name,recommended_use,registry_row,risk_flags,source_scope,source_type,status,track2_actionability_score,track2_use,url,verified_public_fact
0.450,0.860,no,,EmoArt: A Multidimensional Dataset for Emotion-Aware Artistic Generation,description_score_or_attribute_audit,1,none,auxiliary,paper,verified,0.587,Core ontology and style prior,https://arxiv.org/abs/2506.03652,132664 artworks; 56 styles; five visual attributes; VA labels; 12 emotion categories
0.880,0.860,yes,,EmoArt project page,label_arbitration_or_core_calibration,2,none,author,project,verified,0.873,Primary hub for datasets and code,https://zhiliangzhang.github.io/EmoArt-130k/,132K+ artworks; 56 art styles; 12 emotion classes; 5 visual attributes; links to dataset/code/FAB-G
0.880,0.620,yes,,printblue/EmoArt-130k,label_arbitration_or_core_calibration,3,none,author,dataset,verified,0.792,Training/reference/style prior,https://huggingface.co/datasets/printblue/EmoArt-130k,132664 images; 56 styles; 7 thematic categories; Annotation.json
0.700,0.550,no,,printblue/EmoArt-5k,auxiliary_teacher_or_diagnostic_only,4,none,author,dataset,verified,0.663,Fast smoke/prototyping,https://huggingface.co/datasets/printblue/EmoArt-5k,5600-image curated subset
0.700,0.860,no,,printblue/EmoArt-Salience,description_score_or_attribute_audit,5,none,author,dataset,verified,0.769,Description/AGSR salience gate,https://huggingface.co/datasets/printblue/EmoArt-Salience,1400 rows; salience labels for formal attributes
0.880,0.860,yes,,zhiliangzhang/EmoArt-130k,label_arbitration_or_core_calibration,6,none,author,code,verified,0.873,Description proxy and reference metrics,https://github.com/zhiliangzhang/EmoArt-130k,Evaluation metric code including attribute alignment and CLIP score utilities
0.450,0.860,no,,Attribute-Grounded Selective Reasoning / FAB-G,description_score_or_attribute_audit,7,none,auxiliary,paper,verified,0.587,Description guard; candidate evidence audit,https://arxiv.org/abs/2605.15755,AGSR; 1400-artwork salience extension; FAB-G multi-agent bottleneck
0.700,0.860,no,,zhiliangzhang/FAB-G,description_score_or_attribute_audit,8,none,author,code,verified,0.769,Potential LoRA route; schema for salience bottleneck,https://github.com/zhiliangzhang/FAB-G,Qwen3-VL-8B base with six LoRA adapters for five attributes plus final agent
0.920,0.650,yes,,AffectiveArt Challenge 2026 OpenReview,label_arbitration_or_core_calibration,9,none,official,challenge,verified,0.835,Rules and ontology source,https://openreview.net/forum?id=LbbHX8ofXZ,Track1 generation and Track2 understanding built on EmoArt; hidden test set; AAS and human/expert evaluation proposal
0.920,0.650,yes,,Codabench Track2,label_arbitration_or_core_calibration,10,none,official,challenge,verified,0.835,Official format and scoring constraints,https://www.codabench.org/competitions/16304,Submission schema; 50% classification and 50% description; invalid manipulation rules
