sample_id,tier,recommended_decision,human_task,base_label,scaled_desc_v1_label,guarded_v1_label,prior_gemini_decision,prior_gemini_confidence,prior_gemini_rationale,human_decision,human_notes
track2_0259,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,tired / 疲惫 / Negative / Low,calm / 平静 / Positive / Low,change_to_base,5,"The artwork depicts a serene, peaceful expression of a woman with closed eyes, which is described in the text as evoking inner peace and tranquility, making 'calm' a much more accurate label than 'tired'.",,
track2_0383,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,bored / 厌倦 / Negative / Low,calm / 平静 / Positive / Low,change_to_base,4,"The neutral, serene expressions of the figures in this classical portrait are better described as calm rather than bored.",,
track2_0564,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,tired / 疲惫 / Negative / Low,calm / 平静 / Positive / Low,change_to_base,4,The serene depiction of a resting bird in a traditional Japanese woodblock print evokes a sense of peace and calmness rather than negative exhaustion or tiredness.,,
track2_0591,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,sad / 悲伤 / Negative / Low,calm / 平静 / Positive / Low,change_to_base,4,"The subject's gentle, serene facial expression and poised posture convey a sense of quiet dignity and calm rather than sadness, despite the dark color palette.",,
track2_0357,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,frustrated / 挫败/受阻 / Negative / High,calm / 平静 / Positive / Low,change_to_base,4,"The caption explicitly describes the scene as having a calm and contemplative atmosphere, which directly contradicts the final label of frustrated.",,
track2_0441,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,annoyed / 恼怒 / Negative / High,calm / 平静 / Positive / Low,annoyed / 恼怒 / Negative / High,change_to_base,4,"The painting depicts two water buffaloes locked in a head-butting struggle, which conveys physical tension and conflict rather than calmness.",,
track2_0506,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,annoyed / 恼怒 / Negative / High,calm / 平静 / Positive / Low,change_to_base,4,"The balanced, centered composition and structured rhythmic depth of this abstract still life evoke a sense of order and calm rather than annoyance.",,
track2_0666,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,alarmed / 惊恐/警觉 / Negative / High,sad / 悲伤 / Negative / Low,alarmed / 惊恐/警觉 / Negative / High,change_to_base,5,The depiction of a desperate struggle with a beast and the text's mention of violent movement and tension strongly align with high-arousal alarm rather than sadness.,,
track2_0976,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,calm / 平静 / Positive / Low,annoyed / 恼怒 / Negative / High,calm / 平静 / Positive / Low,change_to_base,4,"The balanced, minimalist composition with clean lines and a neutral cream background evokes a sense of quiet and calm rather than the high-arousal irritation associated with annoyance.",,
track2_0123,A,keep_guarded_v1,快速看图确认是否明显错；没有明显错就通过。,content / 满足/安适 / Positive / Low,tired / 疲惫 / Negative / Low,content / 满足/安适 / Positive / Low,change_to_base,5,"The depiction of a man drinking from a wineskin represents refreshment and physical satisfaction, which aligns much better with 'content' than 'tired'.",,
