sample_id,family_id,hard_constraints,style_freedom,composition_hints,medium_options,aspect_hints,candidate_strategies,caption
track1_0665,kremlin_red_square,caption_content | landmark_reference | requested_text_policy | relation_logic,aspect_variation_allowed | style_variation_allowed | crop_variation_allowed,red brick tower | searchlight | night scene,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet victory poster with bold Russian typography, a large medal suspended from a black-and-orange ribbon above Kremlin towers, crowds, fireworks, and radiant blue searchlights in a solemn celebratory composition."
track1_0803,kremlin_red_square,caption_content | landmark_reference | requested_text_policy | relation_logic,aspect_variation_allowed | style_variation_allowed | crop_variation_allowed,red brick tower | searchlight | night scene,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster with the Soviet, American, and British flags flying above a Kremlin tower crowned by a red star, framed by dramatic blue searchlight beams, bold Russian text, and a solemn wartime color palette."
track1_0077,naval_aviation_vehicle,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,uniformed sailor or pilot | ship or vehicle silhouette | transport machinery,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet naval propaganda poster with a sailor hoisting red and white flags before panels of warships and sea battles, using bold Cyrillic typography, patriotic red accents, and a solemn heroic composition."
track1_0370,generic_artwork,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,caption-led subject | medium-appropriate composition | avoid batch template,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet propaganda poster with a group of young people holding bouquets around a decorated soldier, backed by sweeping red flags, Cyrillic slogans, and a bright celebratory color palette."
track1_0747,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print | painting_or_brushwork_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet wartime propaganda poster with bold Cyrillic lettering, mounted soldiers, fleeing civilians, burning village ruins, aircraft overhead, and dramatic brushwork in a muted blue, red, and ochre palette."
track1_0476,naval_aviation_vehicle,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,uniformed sailor or pilot | ship or vehicle silhouette | transport machinery,propaganda_poster_print | painting_or_brushwork_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism propaganda poster with bold Cyrillic lettering, a naval medal, sailing ships, cannon, and uniformed sailors in a dramatic maritime battle scene rendered with graphic linework and muted watercolor tones."
track1_0898,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"Socialist Realism poster art of Soviet soldiers charging through a snowy battlefield with a raised rifle, a red flag, bold Cyrillic slogans, dramatic action, and a muted red-blue color palette."
track1_0708,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism wartime poster of Soviet soldiers advancing through a rugged battlefield, with a front soldier holding a submachine gun and another raising a red banner, rendered in heroic composition, muted earth tones, and bold Cyrillic typography."
track1_0353,kremlin_red_square,caption_content | landmark_reference | requested_text_policy,aspect_variation_allowed | style_variation_allowed | crop_variation_allowed,red brick tower | searchlight | night scene,propaganda_poster_print,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet poster-style scene with a jubilant crowd of soldiers and civilians watching fireworks over the Kremlin and Red Square beneath bold Cyrillic lettering, rendered in a vintage muted palette with dramatic light and shadow."
track1_0593,battle_tank_cavalry,caption_content | requested_text_policy | relation_logic,free_crop_allowed | aspect_variation_allowed | style_variation_allowed,battlefield depth | armored vehicle | mounted movement | infantry group,propaganda_poster_print | painting_or_brushwork_surface,"[{""confidence"": 1.0, ""guard_notes"": [], ""guard_status"": ""rule"", ""height"": 1024, ""label"": ""portrait_poster"", ""prompt_directive"": ""Use a portrait poster canvas; keep the full printed poster front-facing and avoid left/right overflow."", ""reason"": """", ""source"": ""rule"", ""width"": 768}]",aas_safe | reference_style | fid_diverse,"A Socialist Realism Soviet propaganda poster with bold Cyrillic text, a monumental sword-wielding historical figure above soldiers raising red flags amid a liberated battlefield town, rendered in dramatic colors and strong graphic brushwork."
