rank,sample_id,recommended_model,candidate_count,primary_expert,support_experts,provider_prompt_path,caption
1,track1_0665,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/01_track1_0665_aas_safe.txt,"A Socialist Realism Soviet victory poster with bold Russian typography, a large medal suspended from a black-and-orange ribbon above Kremlin towers, crowds, fireworks, and radiant blue searchlights in a solemn celebratory composition."
2,track1_0665,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/02_track1_0665_reference_style.txt,"A Socialist Realism Soviet victory poster with bold Russian typography, a large medal suspended from a black-and-orange ribbon above Kremlin towers, crowds, fireworks, and radiant blue searchlights in a solemn celebratory composition."
3,track1_0665,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/03_track1_0665_fid_diverse.txt,"A Socialist Realism Soviet victory poster with bold Russian typography, a large medal suspended from a black-and-orange ribbon above Kremlin towers, crowds, fireworks, and radiant blue searchlights in a solemn celebratory composition."
4,track1_0803,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/04_track1_0803_aas_safe.txt,"A Socialist Realism propaganda poster with the Soviet, American, and British flags flying above a Kremlin tower crowned by a red star, framed by dramatic blue searchlight beams, bold Russian text, and a solemn wartime color palette."
5,track1_0803,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/05_track1_0803_reference_style.txt,"A Socialist Realism propaganda poster with the Soviet, American, and British flags flying above a Kremlin tower crowned by a red star, framed by dramatic blue searchlight beams, bold Russian text, and a solemn wartime color palette."
6,track1_0803,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/06_track1_0803_fid_diverse.txt,"A Socialist Realism propaganda poster with the Soviet, American, and British flags flying above a Kremlin tower crowned by a red star, framed by dramatic blue searchlight beams, bold Russian text, and a solemn wartime color palette."
7,track1_0077,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/07_track1_0077_aas_safe.txt,"A Socialist Realism Soviet naval propaganda poster with a sailor hoisting red and white flags before panels of warships and sea battles, using bold Cyrillic typography, patriotic red accents, and a solemn heroic composition."
8,track1_0077,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/08_track1_0077_reference_style.txt,"A Socialist Realism Soviet naval propaganda poster with a sailor hoisting red and white flags before panels of warships and sea battles, using bold Cyrillic typography, patriotic red accents, and a solemn heroic composition."
9,track1_0077,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/09_track1_0077_fid_diverse.txt,"A Socialist Realism Soviet naval propaganda poster with a sailor hoisting red and white flags before panels of warships and sea battles, using bold Cyrillic typography, patriotic red accents, and a solemn heroic composition."
10,track1_0370,gemini-3-pro-image,4,poster_expert,reference_expert;text_symbol_expert;logic_expert;fid_guard_expert,/Users/yhryzy/dev/emoart-130k/experiments/track1_reference_conditioned_pilot_20260603/moe_prompt_packets_antitemplate_20260605/provider_prompts_top/10_track1_0370_aas_safe.txt,"A Socialist Realism Soviet propaganda poster with a group of young people holding bouquets around a decorated soldier, backed by sweeping red flags, Cyrillic slogans, and a bright celebratory color palette."
