sample_id,bucket,base_label,desc_v1_label,guarded_v1_label,gemini_decision,gemini_suggested,gemini_confidence,text_consistency,allowlist_transition,default_decision,human_decision,human_reviewer,human_notes
track2_0259,high_conf_rollback,calm / Positive / Low,tired / Negative / Low,calm / Positive / Low,change_to_base,calm / Positive / Low,5,major_issue,calm->tired,keep_guarded_rollback,,,
track2_0383,high_conf_rollback,calm / Positive / Low,bored / Negative / Low,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->bored,keep_guarded_rollback,,,
track2_0564,high_conf_rollback,calm / Positive / Low,tired / Negative / Low,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->tired,keep_guarded_rollback,,,
track2_0591,high_conf_rollback,calm / Positive / Low,sad / Negative / Low,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->sad,keep_guarded_rollback,,,
track2_0357,high_conf_rollback,calm / Positive / Low,frustrated / Negative / High,calm / Positive / Low,change_to_base,calm / Positive / Low,4,major_issue,calm->frustrated,keep_guarded_rollback,,,
track2_0441,high_conf_rollback,annoyed / Negative / High,calm / Positive / Low,annoyed / Negative / High,change_to_base,annoyed / Negative / High,4,consistent,annoyed->calm,keep_guarded_rollback,,,
track2_0506,high_conf_rollback,calm / Positive / Low,annoyed / Negative / High,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->annoyed,keep_guarded_rollback,,,
track2_0666,high_conf_rollback,alarmed / Negative / High,sad / Negative / Low,alarmed / Negative / High,change_to_base,alarmed / Negative / High,5,consistent,alarmed->sad,keep_guarded_rollback,,,
track2_0976,high_conf_rollback,calm / Positive / Low,annoyed / Negative / High,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->annoyed,keep_guarded_rollback,,,
track2_0123,high_conf_rollback,content / Positive / Low,tired / Negative / Low,content / Positive / Low,change_to_base,content / Positive / Low,5,minor_issue,content->tired,keep_guarded_rollback,,,
track2_0733,high_conf_rollback,aroused / Positive / High,calm / Positive / Low,aroused / Positive / High,change_to_base,aroused / Positive / High,4,major_issue,aroused->calm,keep_guarded_rollback,,,
track2_0161,high_conf_rollback,calm / Positive / Low,content / Positive / Low,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->content,keep_guarded_rollback,,,
track2_0199,high_conf_rollback,calm / Positive / Low,content / Positive / Low,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->content,keep_guarded_rollback,,,
track2_0281,high_conf_rollback,calm / Positive / Low,content / Positive / Low,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->content,keep_guarded_rollback,,,
track2_0308,high_conf_rollback,content / Positive / Low,glad / Positive / Low,content / Positive / Low,change_to_base,content / Positive / Low,4,consistent,content->glad,keep_guarded_rollback,,,
track2_0569,high_conf_rollback,calm / Positive / Low,content / Positive / Low,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->content,keep_guarded_rollback,,,
track2_0606,high_conf_rollback,calm / Positive / Low,content / Positive / Low,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->content,keep_guarded_rollback,,,
track2_0794,high_conf_rollback,calm / Positive / Low,content / Positive / Low,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->content,keep_guarded_rollback,,,
track2_0866,high_conf_rollback,calm / Positive / Low,content / Positive / Low,calm / Positive / Low,change_to_base,calm / Positive / Low,4,consistent,calm->content,keep_guarded_rollback,,,
track2_0139,risk_context,tired / Negative / Low,calm / Positive / Low,calm / Positive / Low,keep_final,calm / Positive / Low,3,consistent,tired->calm,keep_guarded,,,
track2_0547,risk_context,calm / Positive / Low,annoyed / Negative / High,annoyed / Negative / High,change_to_base,calm / Positive / Low,3,consistent,calm->annoyed,keep_guarded,,,
track2_0635,risk_context,excited / Positive / High,happy / Positive / High,happy / Positive / High,keep_final,happy / Positive / High,3,consistent,excited->happy,keep_guarded,,,
track2_0869,risk_context,calm / Positive / Low,content / Positive / Low,content / Positive / Low,change_to_base,calm / Positive / Low,3,consistent,calm->content,keep_guarded,,,
track2_0964,risk_context,happy / Positive / High,excited / Positive / High,excited / Positive / High,change_to_base,happy / Positive / High,3,consistent,happy->excited,keep_guarded,,,
