rank,sample_id,source,review_tier,delta,distribution_delta,perceptual_delta,candidate_review_missing,duplicate_candidate_count,current_image,candidate_image,caption,acceptance_status
1,track1_0499,full1000,high_delta_review,0.1049,0.3159,0.3833,True,2,submissions/track1/images/track1_0499.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0499.jpg,"Abstract minimalist composition with a dark blue-black monochrome field, subtle tonal gradients, and a thin shadowed frame creating a calm, mysterious atmosphere.",review_needed_not_accepted
2,track1_0790,full1000,high_delta_review,0.084,0.3139,0.2457,True,1,submissions/track1/images/track1_0790.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0790.jpg,"Ukiyo-e scene of travelers on a windy shoreline struggling with yellow umbrellas and scattered belongings, with waves, distant mountains, birds, fine linework, muted colors, and a vertical calligraphy panel.",review_needed_not_accepted
3,track1_0221,full1000,high_delta_review,0.0755,0.2718,0.2317,True,2,submissions/track1/images/track1_0221.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0221.jpg,A Baroque monochrome etching of a seated nude figure with loose expressive cross-hatching and stark light-shadow contrast on aged paper.,review_needed_not_accepted
4,track1_0725,full1000,high_delta_review,0.0738,0.2349,0.2574,True,1,submissions/track1/images/track1_0725.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0725.jpg,"Ukiyo-e scene of three women in patterned kimonos beneath drooping willow branches, with muted colors, delicate linework, and a calm outdoor setting.",review_needed_not_accepted
5,track1_0609,full1000,high_delta_review,0.0734,0.261,0.2282,True,2,submissions/track1/images/track1_0609.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0609.jpg,"Ukiyo-e scene of two kimono-clad women standing beneath a blossoming tree with distant mountains, delicate linework, muted earthy colors, and a calm atmosphere.",review_needed_not_accepted
6,track1_0957,full1000,high_delta_review,0.0693,0.2757,0.1859,True,1,submissions/track1/images/track1_0957.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0957.jpg,"Ukiyo-e style print of a dramatic red-skinned warrior in ornate robes raising a fist above a crouching green creature, with bold outlines, flat colors, and a tense theatrical composition.",review_needed_not_accepted
7,track1_0049,full1000,high_delta_review,0.0676,0.2376,0.2135,True,1,submissions/track1/images/track1_0049.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0049.jpg,"A Socialist Realism propaganda poster with bold flat colors and sharp graphic lines portrays a Soviet soldier with a rifle and bayonet confronting a swastika-marked fascist figure across a map of northern and southern seas, creating a tense wartime composition.",review_needed_not_accepted
8,track1_0630,full1000,high_delta_review,0.0646,0.2229,0.2076,True,2,submissions/track1/images/track1_0630.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0630.jpg,"A whimsical Ukiyo-e scene with a large cat looming above lively koi fish in pale blue water, using flat colors, delicate outlines, and playful composition.",review_needed_not_accepted
9,track1_0911,full1000,high_delta_review,0.061,0.2239,0.1826,True,1,submissions/track1/images/track1_0911.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0911.jpg,"Ukiyo-e print of fierce warriors in flowing robes, one gripping a sword beneath curling flames, rendered in a vertical composition with fine ink lines and muted tan, orange, and black tones.",review_needed_not_accepted
10,track1_0401,full1000,high_delta_review,0.0609,0.2451,0.1604,True,2,submissions/track1/images/track1_0401.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0401.jpg,"Ukiyo-e scene of an elderly seated man and a standing woman in patterned robes inside a tatami room with shoji screens, calligraphy above, delicate linework, and muted earthy colors.",review_needed_not_accepted
11,track1_0686,full1000,high_delta_review,0.059,0.2298,0.1639,True,2,submissions/track1/images/track1_0686.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0686.jpg,"A Socialist Realism Soviet propaganda poster with Cyrillic text, Baltic republic emblems, a large red Roman numeral V, golden ribbons, oak leaves, and a pale map background on aged paper.",review_needed_not_accepted
12,track1_0976,full1000,high_delta_review,0.0583,0.2253,0.1629,True,1,submissions/track1/images/track1_0976.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0976.jpg,"Abstract watercolor and ink composition with layered brown mask-like forms, a red and blue zigzag band, green washes, and bold black organic shapes in a loose, textured arrangement.",review_needed_not_accepted
13,track1_0839,full1000,high_delta_review,0.058,0.2323,0.1544,True,1,submissions/track1/images/track1_0839.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0839.jpg,"Abstract geometric composition of intersecting black lines forming rectangles and triangles, with yellow blocks, blue diagonal hatching, gray striped areas, and visible colored-pencil texture on an off-white background.",review_needed_not_accepted
14,track1_0483,full1000,high_delta_review,0.0576,0.2074,0.1763,True,2,submissions/track1/images/track1_0483.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0483.jpg,"Ukiyo-e style illustration of two fish, a large pink-red fish beneath a smaller dark mottled fish, with delicate linework, flat muted colors, and calligraphic inscriptions on a pale background.",review_needed_not_accepted
15,track1_0899,full1000,high_delta_review,0.0572,0.2477,0.1336,True,1,submissions/track1/images/track1_0899.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0899.jpg,"Ukiyo-e scene of samurai warriors carrying spears through a snowy mountain pass among snow-laden pine trees, with crisp linework, muted winter colors, and a calm yet solemn atmosphere.",review_needed_not_accepted
16,track1_0740,full1000,high_delta_review,0.0568,0.1764,0.2025,True,1,submissions/track1/images/track1_0740.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0740.jpg,"A Gongbi painting of robed figures gathered in a dim interior, rendered with fine controlled linework, muted earth tones, and a solemn, aged atmosphere.",review_needed_not_accepted
17,track1_0844,full1000,high_delta_review,0.0562,0.2115,0.1632,True,1,submissions/track1/images/track1_0844.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0844.jpg,"A Ukiyo-e scene of travelers crossing a small arched bridge over a stream near a hillside building, framed by autumn trees, delicate linework, and muted earthy colors.",review_needed_not_accepted
18,track1_0771,full1000,high_delta_review,0.0559,0.2257,0.1469,True,1,submissions/track1/images/track1_0771.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0771.jpg,"A Ukiyo-e woodblock print of women gathered inside a traditional room opening onto a quiet garden with rocks, pine trees, sliding screens, and delicate linework in a muted color palette.",review_needed_not_accepted
19,track1_0030,full1000,high_delta_review,0.0552,0.2012,0.167,True,2,submissions/track1/images/track1_0030.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0030.jpg,"Ukiyo-e scene of travelers in traditional robes walking through a hilly landscape with trees, distant figures on a path, and Mount Fuji in the background, rendered with delicate linework and muted earthy colors.",review_needed_not_accepted
20,track1_0881,full1000,high_delta_review,0.055,0.2007,0.1654,True,1,submissions/track1/images/track1_0881.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0881.jpg,"A Socialist Realism propaganda poster of a decorated Soviet pilot holding a flight map before military airplanes in a blue sky, framed by laurel wreaths, red ribbons, bold Cyrillic lettering, and heroic patriotic composition.",review_needed_not_accepted
21,track1_0949,full1000,high_delta_review,0.0529,0.2292,0.1231,True,1,submissions/track1/images/track1_0949.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0949.jpg,"Abstract ink sketch of a distorted standing figure with oversized arms and fragmented facial features, framed by rough linear borders and dense cross-hatched shadows on aged beige paper.",review_needed_not_accepted
22,track1_0659,full1000,high_delta_review,0.0523,0.1838,0.1645,True,2,submissions/track1/images/track1_0659.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0659.jpg,"Ukiyo-e woodblock print of three elegantly dressed figures walking in diagonal rain, with a large patterned parasol, delicate linework, muted colors, and a calm street scene atmosphere.",review_needed_not_accepted
23,track1_0998,full1000,high_delta_review,0.052,0.2129,0.1337,True,1,submissions/track1/images/track1_0998.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0998.jpg,"Abstract pencil sketch of a fragmented interior scene with angular geometric forms, overlapping objects, loose graphite lines, and a muted beige paper texture.",review_needed_not_accepted
24,track1_0897,full1000,high_delta_review,0.0517,0.2101,0.1346,True,1,submissions/track1/images/track1_0897.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0897.jpg,"Ink and wash painting of a serene garden scene with a twisted pine tree, bamboo, rocks, a thatched pavilion where two scholars sit at a table, and a lone figure standing by a simple fence, rendered with delicate brushwork and soft muted washes.",review_needed_not_accepted
25,track1_0614,full1000,high_delta_review,0.0507,0.2064,0.1311,True,2,submissions/track1/images/track1_0614.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0614.jpg,"Ukiyo-e scene of two women in patterned kimonos standing on a hillside above a quiet coastal landscape, one holding a closed parasol, with delicate linework and a muted earthy color palette.",review_needed_not_accepted
26,track1_0945,full1000,high_delta_review,0.0503,0.1982,0.1373,True,1,submissions/track1/images/track1_0945.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0945.jpg,"Ukiyo-e scene of three elegantly dressed women in patterned kimonos standing beneath blooming cherry branches, with delicate linework, muted colors, and a calm spring atmosphere.",review_needed_not_accepted
27,track1_0785,full1000,medium_delta_review,0.0497,0.1635,0.1681,True,1,submissions/track1/images/track1_0785.jpg,submissions/track1_candidate_full1000_aas_safe_official_v7_no_fallback_20260605/images/track1_0785.jpg,"Ink and wash painting of a serene mountainous landscape with clustered trees, small hillside houses, winding paths, and calligraphy, rendered with delicate brushwork and a muted earthy color palette.",review_needed_not_accepted
