sample_id,score,vulca_issues,vulca_risk,desc_issues,heuristic_hits,emotion
track2_0117,23.0,4,1.0,0,spiritual,calm
track2_0665,15.0,2,0.7,0,spiritual;\bSaint\b,calm
track2_0126,14.0,2,0.7,0,spiritual,calm
track2_0541,14.0,2,0.7,0,spiritual,calm
track2_0923,9.5,1,0.55,0,Renaissance,alarmed
track2_0385,8.5,1,0.35,0,spiritual;creates a sense,calm
track2_0543,8.5,1,0.35,0,spiritual;\bChrist\b,calm
track2_0708,8.5,1,0.35,0,spiritual;\bSaint\b,frustrated
track2_0029,7.5,1,0.35,0,spiritual,calm
track2_0036,7.5,1,0.35,0,spiritual,calm
track2_0065,7.5,1,0.35,0,spiritual,calm
track2_0182,7.5,1,0.35,0,spiritual,calm
track2_0364,7.5,1,0.35,0,spiritual,alarmed
track2_0391,7.5,1,0.35,0,spiritual,calm
track2_0454,7.5,1,0.35,0,spiritual,calm
track2_0470,7.5,1,0.35,0,spiritual,calm
track2_0538,7.5,1,0.35,0,spiritual,calm
track2_0584,7.5,1,0.35,0,spiritual,calm
track2_0749,7.5,1,0.35,0,spiritual,calm
track2_0875,7.5,1,0.35,0,spiritual,calm
track2_0903,7.5,1,0.35,0,spiritual,calm
track2_0593,2.0,0,0.0,0,\bSaint\b;creates a sense,content
track2_0752,2.0,0,0.0,0,\bSaint\b;evokes a sense,calm
track2_0007,1.0,0,0.0,0,creates a sense,excited
track2_0095,1.0,0,0.0,0,creates a sense,aroused
track2_0110,1.0,0,0.0,0,creates a sense,calm
track2_0131,1.0,0,0.0,0,creates a sense,content
track2_0143,1.0,0,0.0,0,creates a sense,calm
track2_0154,1.0,0,0.0,0,creates a sense,calm
track2_0169,1.0,0,0.0,0,creates a sense,content
track2_0183,1.0,0,0.0,0,\bSaint\b,calm
track2_0228,1.0,0,0.0,0,creates a sense,calm
track2_0259,1.0,0,0.0,0,evokes a sense,calm
track2_0286,1.0,0,0.0,0,creates a sense,calm
track2_0288,1.0,0,0.0,0,creates a sense,calm
track2_0328,1.0,0,0.0,0,evokes a sense,calm
track2_0339,1.0,0,0.0,0,evokes a sense,calm
track2_0341,1.0,0,0.0,0,creates a sense,calm
track2_0353,1.0,0,0.0,0,Renaissance,calm
track2_0356,1.0,0,0.0,0,creates a sense,aroused
track2_0357,1.0,0,0.0,0,emotional atmosphere,calm
track2_0387,1.0,0,0.0,0,creates a sense,calm
track2_0393,1.0,0,0.0,0,creates a sense,calm
track2_0402,1.0,0,0.0,0,creates a sense,calm
track2_0424,1.0,0,0.0,0,creates a sense,content
track2_0445,1.0,0,0.0,0,creates a sense,calm
track2_0485,1.0,0,0.0,0,creates a sense,calm
track2_0488,1.0,0,0.0,0,creates a sense,excited
track2_0492,1.0,0,0.0,0,creates a sense,calm
track2_0506,1.0,0,0.0,0,creates a sense,calm
track2_0545,1.0,0,0.0,0,philosoph,sad
track2_0559,1.0,0,0.0,0,creates a sense,calm
track2_0600,1.0,0,0.0,0,creates a sense,calm
track2_0601,1.0,0,0.0,0,creates a sense,content
track2_0634,1.0,0,0.0,0,creates a sense,content
track2_0680,1.0,0,0.0,0,\bSaint\b,calm
track2_0728,1.0,0,0.0,0,\bSaint\b,alarmed
track2_0733,1.0,0,0.0,0,creates a sense,aroused
track2_0766,1.0,0,0.0,0,creates a sense,calm
track2_0813,1.0,0,0.0,0,creates a sense,content
track2_0851,1.0,0,0.0,0,creates a sense,calm
track2_0852,1.0,0,0.0,0,evokes a sense,content
track2_0865,1.0,0,0.0,0,\bChrist\b,calm
track2_0869,1.0,0,0.0,0,creates a sense,content
track2_0937,1.0,0,0.0,0,creates a sense,calm
track2_0940,1.0,0,0.0,0,creates a sense,aroused
track2_0950,1.0,0,0.0,0,creates a sense,calm
track2_1000,1.0,0,0.0,0,creates a sense,content
track2_0002,0.0,0,0.0,0,,calm
track2_0004,0.0,0,0.0,0,,content
track2_0005,0.0,0,0.0,0,,calm
track2_0006,0.0,0,0.0,0,,calm
track2_0009,0.0,0,0.0,0,,content
track2_0010,0.0,0,0.0,0,,calm
track2_0011,0.0,0,0.0,0,,happy
track2_0012,0.0,0,0.0,0,,content
track2_0013,0.0,0,0.0,0,,calm
track2_0014,0.0,0,0.0,0,,sad
track2_0016,0.0,0,0.0,0,,calm
track2_0017,0.0,0,0.0,0,,content
track2_0018,0.0,0,0.0,0,,frustrated
track2_0020,0.0,0,0.0,0,,content
track2_0021,0.0,0,0.0,0,,calm
track2_0023,0.0,0,0.0,0,,calm
track2_0024,0.0,0,0.0,0,,calm
track2_0025,0.0,0,0.0,0,,calm
track2_0026,0.0,0,0.0,0,,calm
track2_0027,0.0,0,0.0,0,,content
track2_0030,0.0,0,0.0,0,,alarmed
track2_0031,0.0,0,0.0,0,,tired
track2_0032,0.0,0,0.0,0,,aroused
track2_0033,0.0,0,0.0,0,,aroused
track2_0034,0.0,0,0.0,0,,calm
track2_0035,0.0,0,0.0,0,,content
track2_0037,0.0,0,0.0,0,,tired
track2_0038,0.0,0,0.0,0,,tired
track2_0040,0.0,0,0.0,0,,calm
track2_0041,0.0,0,0.0,0,,frustrated
track2_0042,0.0,0,0.0,0,,calm
track2_0043,0.0,0,0.0,0,,content
track2_0044,0.0,0,0.0,0,,content
track2_0046,0.0,0,0.0,0,,calm
track2_0050,0.0,0,0.0,0,,calm
track2_0051,0.0,0,0.0,0,,calm
track2_0052,0.0,0,0.0,0,,content
track2_0053,0.0,0,0.0,0,,bored
track2_0054,0.0,0,0.0,0,,content
track2_0055,0.0,0,0.0,0,,calm
track2_0056,0.0,0,0.0,0,,tired
track2_0057,0.0,0,0.0,0,,content
track2_0058,0.0,0,0.0,0,,content
track2_0059,0.0,0,0.0,0,,content
track2_0060,0.0,0,0.0,0,,calm
track2_0061,0.0,0,0.0,0,,calm
track2_0062,0.0,0,0.0,0,,calm
track2_0063,0.0,0,0.0,0,,tired
track2_0064,0.0,0,0.0,0,,calm
track2_0066,0.0,0,0.0,0,,calm
track2_0067,0.0,0,0.0,0,,content
track2_0068,0.0,0,0.0,0,,bored
track2_0069,0.0,0,0.0,0,,calm
track2_0070,0.0,0,0.0,0,,aroused
track2_0071,0.0,0,0.0,0,,bored
track2_0072,0.0,0,0.0,0,,calm
track2_0073,0.0,0,0.0,0,,calm
track2_0074,0.0,0,0.0,0,,calm
track2_0075,0.0,0,0.0,0,,calm
track2_0076,0.0,0,0.0,0,,content
track2_0078,0.0,0,0.0,0,,calm
track2_0080,0.0,0,0.0,0,,calm
track2_0081,0.0,0,0.0,0,,calm
track2_0082,0.0,0,0.0,0,,calm
track2_0083,0.0,0,0.0,0,,calm
track2_0085,0.0,0,0.0,0,,content
track2_0086,0.0,0,0.0,0,,alarmed
track2_0087,0.0,0,0.0,0,,content
track2_0088,0.0,0,0.0,0,,calm
track2_0089,0.0,0,0.0,0,,calm
track2_0092,0.0,0,0.0,0,,calm
track2_0094,0.0,0,0.0,0,,calm
track2_0096,0.0,0,0.0,0,,frustrated
track2_0097,0.0,0,0.0,0,,calm
track2_0098,0.0,0,0.0,0,,sad
track2_0099,0.0,0,0.0,0,,content
