cross_quadrant_risk,current_arousal,current_emotion,current_valence,decision,evidence_score,gemini35_objection,human_accept_support,proposed_arousal,proposed_emotion,proposed_valence,public_style_agreement,same_quadrant,sample_id,supporting_families,supporting_family_count,supporting_source_count,supporting_sources,transition
False,Low,calm,Positive,accept_safe,24,False,False,Low,content,Positive,True,True,track2_0112,label_rubric;model;public_reference;public_style;safe_human;selective;teacher,7,14,balanced;dinov2;ensemble;gemini35_guarded;label_auto;label_selective;public_conservative10;public_landscape8;public_ref_auto;public_review11;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,24,False,False,Low,content,Positive,True,True,track2_0347,label_rubric;model;public_reference;public_style;safe_human;selective;teacher,7,14,balanced;dinov2;ensemble;gemini35_guarded;label_auto;label_selective;public_conservative10;public_landscape8;public_ref_auto;public_review11;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,24,False,False,Low,content,Positive,True,True,track2_0798,label_rubric;model;public_reference;public_style;safe_human;selective;teacher,7,14,balanced;dinov2;ensemble;gemini35_guarded;label_auto;label_selective;public_conservative10;public_landscape8;public_ref_auto;public_review11;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,24,False,False,Low,content,Positive,True,True,track2_0960,label_rubric;model;public_reference;public_style;safe_human;selective;teacher,7,14,balanced;dinov2;ensemble;gemini35_guarded;label_auto;label_selective;public_conservative10;public_landscape8;public_ref_auto;public_review11;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,23,False,False,Low,content,Positive,True,True,track2_0745,label_rubric;model;public_reference;public_style;safe_human;selective;teacher,7,13,balanced;dinov2;gemini35_guarded;label_auto;label_selective;public_conservative10;public_landscape8;public_ref_auto;public_review11;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,16,False,False,Low,content,Positive,False,True,track2_0147,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,High,happy,Positive,accept_safe,16,False,False,High,excited,Positive,False,True,track2_0316,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,happy->excited
False,High,happy,Positive,accept_safe,16,False,False,High,excited,Positive,False,True,track2_0635,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,happy->excited
False,Low,calm,Positive,accept_safe,16,False,False,Low,content,Positive,False,True,track2_0638,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,16,False,False,Low,content,Positive,False,True,track2_0642,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,16,False,False,Low,content,Positive,False,True,track2_0975,label_rubric;model;public_reference;selective;teacher,5,10,balanced;dinov2;ensemble;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0028,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0045,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0047,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
False,Low,calm,Positive,accept_safe,15,False,False,Low,content,Positive,False,True,track2_0102,label_rubric;model;public_reference;selective;teacher,5,9,balanced;dinov2;label_auto;label_selective;public_ref_auto;selective_v2;siglip2;teacher_rescue;teacher_top120,calm->content
