score	sample_id	subject_terms	hits	caption
21	track2_0420	1	\bGoya\b,Disasters of War,etching,\bseries\b	A grim etching from Goya's 'Disasters of War' series, depicting a crowded scene of suffering and death where figures lie huddled together in a dark, o
17	track2_0008	2	\bGoya\b,Disasters of War,etching,\bseries\b	A tragic scene from Goya's Disasters of War series, showing women tending to a collapsed or dying figure, conveying a sense of urgent grief and shock.
17	track2_0479	4	\bGoya\b,Disasters of War,etching,\bseries\b	A harrowing etching from Goya's 'Disasters of War' series, showing a soldier about to strike a victim amidst a scene of execution and despair.
17	track2_0812	3	\bGoya\b,Disasters of War,etching,\bseries\b	A stark and violent scene from Goya's 'Disasters of War' series, showing a man lunging with a pike at a fallen figure amidst a group of distressed onl
15	track2_0507	1	Renaissance,\bChrist\b,High Renaissance	A serene and balanced depiction of Christ and the Woman of Samaria at a central well, set within a tranquil, open landscape.
15	track2_0643	1	Renaissance,Northern Renaissance,Gothic	A formal courtly scene depicting a woman kneeling before a seated nobleman or king, presenting a golden chalice, set within a richly detailed Gothic a
14	track2_0764	1	\bartist\b	A self-portrait of Adélaïde Labille-Guiard seated at an easel, accompanied by two female pupils who look on with interest. The artist gazes directly a
13	track2_0197	3	Renaissance,Northern Renaissance	A serene portrait of a woman in Renaissance attire set against a detailed landscape featuring rocky outcrops and hunting scenes.
13	track2_0802	1	etching,engraving	Two profile portraits of figures in elaborate, fantastical armor, each framed within an arched niche.
12	track2_0160	1	Renaissance,\bMadonna\b	A serene Renaissance depiction of the Madonna and Child, flanked by two angels and framed by classical architectural elements.
12	track2_0319	1	engraving,\bartist\b	A detailed engraving serving as a study sheet, featuring various human facial profiles, anatomical parts like an eye, hand, and foot, interspersed wit
12	track2_0993	2	engraving	An anatomical engraving of a muscular male figure with bound hands, displaying intense physical tension and strain.
11	track2_0049	1	\bVirgin\b	A tender depiction of the Virgin Mary nursing the infant Jesus, set against a vibrant red backdrop, emphasizing maternal intimacy and divine grace.
11	track2_0227	0	Civil War,trompe	A meticulously detailed trompe-l'œil still life featuring Civil War military equipment, including crossed sabers, a forage cap, a canteen, and medals,
11	track2_0366	1	\bYokohama\b,\bseries\b	A bustling and vibrant scene within a grand English trading house in Yokohama, depicting a dense crowd of Japanese and Western figures amidst a rich d
11	track2_0476	1	Renaissance,tempera	A graphic depiction of the beheading of Saint John the Baptist, showing his headless body slumped from a prison window while an executioner collects t
11	track2_0736	0	\bseries\b	A 1937 abstract geometric composition by Gertrude Greene, utilizing black ink on paper to create a series of interlocking and floating shapes.
11	track2_0853	2	\bGoya\b,printmaking	A man in clerical robes balances precariously on a fraying tightrope above a dense, anxious crowd, illustrating a moment of imminent danger and social
10	track2_0022	0	Japanese woodblock	A multi-generational group of people in traditional Japanese attire are gathered in a domestic setting, engaged in reading and quiet conversation arou
10	track2_0077	1	symbolic	A serene and formal depiction of Saint Lucy, standing with a palm branch and a chalice containing eyes against a lavishly patterned gold background.
10	track2_0128	3	Renaissance,Northern Renaissance	A solemn portrait of a young man with dark hair, hands clasped in prayer, set against a deep blue background.
10	track2_0166	0	symbolic,\bseries\b	A serene religious scene showing John the Baptist identifying Jesus to his followers amidst a stylized, rocky landscape.
10	track2_0435	1	Renaissance,tempera	A somber scene depicting a haloed figure imprisoned behind iron bars, while two figures outside express grief and a chained cheetah rests in the foreg
10	track2_0532	1	trompe	A trompe l'oeil still life depicting a collection of personal mementos, including letters, a theater ticket, and sketches, tucked behind red ribbons o
10	track2_0628	0	Renaissance,tempera	A detailed horizontal narrative painting depicting multiple scenes from a classical myth, featuring figures in various states of dress and activity ac
10	track2_0697	0	printmaking,\bseries\b	An abstract composition featuring dark, organic shapes overlaid with delicate white lines and geometric patterns against a textured, muted green backg
10	track2_0754	1	etching	A somber etching depicting a group of starving figures huddled together, receiving a meager meal during a famine.
10	track2_0816	1	Renaissance	A Renaissance-style painting depicting a celestial chariot pulled by white horses across a dark sky, soaring above a walled city and a group of figure
9	track2_0091	3	Renaissance,Northern Renaissance	A portrait of a young woman engaged in spinning, her expression reflecting a quiet sense of satisfaction and focus.
9	track2_0175	2	\bartist\b	A somber self-portrait of a bearded artist holding a palette and brushes, characterized by a weary and introspective gaze.
9	track2_0241	1	etching	A stark and violent etching depicting a group of men brutally attacking another individual, capturing a moment of intense cruelty and suffering.
9	track2_0468	4	Renaissance,High Renaissance	A full-length portrait of a saintly woman in a black and white habit, holding a crucifix, a lily, and a red book against a serene landscape.
9	track2_0480	0	etching	A shocking and grim etching depicting a heap of contorted corpses, capturing the visceral horror and senselessness of war's aftermath.
9	track2_0677	1	etching,printmaking	A dense, abstract etching featuring a chaotic web of sharp, intersecting lines and dark, angular shapes that create a sense of intense conflict and ag
9	track2_0700	1	etching,printmaking	A somber etching depicting several lifeless bodies strewn across a desolate landscape, conveying the tragic aftermath of conflict and the heavy weight
9	track2_0714	1	etching	A harrowing etching depicting a group of men struggling on a ladder during an execution, conveying a sense of grim urgency and despair.
9	track2_0976	0	printmaking	A minimalist abstract composition featuring bold, black geometric blocks and delicate curved lines against a neutral cream background.
8	track2_0039	1	printmaking	An abstract monochromatic lithograph featuring a dynamic interplay of dark, jagged shapes, fluid curves, and dense, scribbled textures.
8	track2_0144	1	East Asian	A serene traditional East Asian painting depicting a small bird perched amidst delicate white and pink blossoms on a gnarled branch against a warm, ag
8	track2_0192	1	printmaking	A dynamic and chaotic abstract composition featuring a dense arrangement of intersecting geometric shapes and sharp lines in high-contrast black and w
8	track2_0330	1	East Asian	A serene traditional East Asian painting depicting a tall, elegantly robed figure standing beside a smaller, kneeling attendant on a monochromatic bac
8	track2_0458	1	East Asian	A dynamic hunting scene featuring three archers on horseback pursuing deer across a vast, open landscape.
8	track2_0520	1	engraving	A detailed anatomical engraving depicting powerful, tensed muscular arms and gnarled hands, conveying a sense of intense physical strain and effort.
8	track2_0614	2	Japanese woodblock,symbolic	A serene Japanese woodblock print depicting two women in elegant kimonos engaged in a quiet, domestic moment, with one holding a fan and the other a s
8	track2_0649	2	Renaissance,tempera	A dramatic scene depicting a saint performing an exorcism on a woman in a public square, with a small black demon emerging from her mouth as onlookers
