arousal,count,emotion,share,style,style_count,valence
High,823,excited,0.467879,Abstract Art,1759,Positive
Low,678,calm,0.385446,Abstract Art,1759,Positive
Low,135,content,0.076748,Abstract Art,1759,Positive
High,34,frustrated,0.019329,Abstract Art,1759,Negative
Low,31,sad,0.017624,Abstract Art,1759,Negative
High,26,alarmed,0.014781,Abstract Art,1759,Negative
High,14,annoyed,0.007959,Abstract Art,1759,Negative
Low,5,bored,0.002843,Abstract Art,1759,Negative
Low,5,tired,0.002843,Abstract Art,1759,Negative
High,4,aroused,0.002274,Abstract Art,1759,Positive
High,4,happy,0.002274,Abstract Art,1759,Positive
High,1730,excited,0.470876,Abstract Expressionism,3674,Positive
Low,1151,calm,0.313283,Abstract Expressionism,3674,Positive
Low,234,content,0.063691,Abstract Expressionism,3674,Positive
High,229,frustrated,0.06233,Abstract Expressionism,3674,Negative
High,122,alarmed,0.033206,Abstract Expressionism,3674,Negative
Low,86,sad,0.023408,Abstract Expressionism,3674,Negative
High,42,annoyed,0.011432,Abstract Expressionism,3674,Negative
Low,31,bored,0.008438,Abstract Expressionism,3674,Negative
High,24,aroused,0.006532,Abstract Expressionism,3674,Positive
Low,14,tired,0.003811,Abstract Expressionism,3674,Negative
High,11,happy,0.002994,Abstract Expressionism,3674,Positive
Low,2237,calm,0.605741,Academicism,3693,Positive
Low,874,content,0.236664,Academicism,3693,Positive
High,207,excited,0.056052,Academicism,3693,Positive
Low,140,sad,0.03791,Academicism,3693,Negative
High,130,alarmed,0.035202,Academicism,3693,Negative
High,58,frustrated,0.015705,Academicism,3693,Negative
High,20,happy,0.005416,Academicism,3693,Positive
High,10,aroused,0.002708,Academicism,3693,Positive
High,7,annoyed,0.001895,Academicism,3693,Negative
Low,6,tired,0.001625,Academicism,3693,Negative
Low,3,glad,0.000812,Academicism,3693,Positive
Low,1,bored,0.000271,Academicism,3693,Negative
High,154,excited,0.385965,Art Brut,399,Positive
Low,90,calm,0.225564,Art Brut,399,Positive
High,53,alarmed,0.132832,Art Brut,399,Negative
High,33,frustrated,0.082707,Art Brut,399,Negative
Low,28,content,0.070175,Art Brut,399,Positive
Low,19,sad,0.047619,Art Brut,399,Negative
Low,10,bored,0.025063,Art Brut,399,Negative
High,5,happy,0.012531,Art Brut,399,Positive
High,3,annoyed,0.007519,Art Brut,399,Negative
Low,3,tired,0.007519,Art Brut,399,Negative
High,1,aroused,0.002506,Art Brut,399,Positive
Low,328,calm,0.575439,Art Deco,570,Positive
High,121,excited,0.212281,Art Deco,570,Positive
Low,73,content,0.12807,Art Deco,570,Positive
High,16,alarmed,0.02807,Art Deco,570,Negative
High,10,frustrated,0.017544,Art Deco,570,Negative
Low,8,sad,0.014035,Art Deco,570,Negative
High,5,aroused,0.008772,Art Deco,570,Positive
Low,3,bored,0.005263,Art Deco,570,Negative
Low,3,tired,0.005263,Art Deco,570,Negative
High,2,happy,0.003509,Art Deco,570,Positive
Low,1,glad,0.001754,Art Deco,570,Positive
High,620,excited,0.420624,Art Informel,1474,Positive
Low,461,calm,0.312754,Art Informel,1474,Positive
High,129,frustrated,0.087517,Art Informel,1474,Negative
Low,93,content,0.063094,Art Informel,1474,Positive
High,60,alarmed,0.040706,Art Informel,1474,Negative
Low,51,sad,0.0346,Art Informel,1474,Negative
High,19,annoyed,0.01289,Art Informel,1474,Negative
Low,16,bored,0.010855,Art Informel,1474,Negative
High,12,aroused,0.008141,Art Informel,1474,Positive
Low,9,tired,0.006106,Art Informel,1474,Negative
High,4,happy,0.002714,Art Informel,1474,Positive
Low,3385,calm,0.573826,Art Nouveau (Modern),5899,Positive
Low,1015,content,0.172063,Art Nouveau (Modern),5899,Positive
High,918,excited,0.15562,Art Nouveau (Modern),5899,Positive
High,213,alarmed,0.036108,Art Nouveau (Modern),5899,Negative
Low,173,sad,0.029327,Art Nouveau (Modern),5899,Negative
High,66,frustrated,0.011188,Art Nouveau (Modern),5899,Negative
High,62,happy,0.01051,Art Nouveau (Modern),5899,Positive
High,23,aroused,0.003899,Art Nouveau (Modern),5899,Positive
High,18,annoyed,0.003051,Art Nouveau (Modern),5899,Negative
Low,17,bored,0.002882,Art Nouveau (Modern),5899,Negative
Low,5,tired,0.000848,Art Nouveau (Modern),5899,Negative
Low,4,glad,0.000678,Art Nouveau (Modern),5899,Positive
Low,4396,calm,0.549844,Baroque,7995,Positive
Low,1547,content,0.193496,Baroque,7995,Positive
High,799,excited,0.099937,Baroque,7995,Positive
High,532,alarmed,0.066542,Baroque,7995,Negative
Low,305,sad,0.038149,Baroque,7995,Negative
High,206,frustrated,0.025766,Baroque,7995,Negative
High,87,happy,0.010882,Baroque,7995,Positive
High,60,aroused,0.007505,Baroque,7995,Positive
Low,22,tired,0.002752,Baroque,7995,Negative
High,19,annoyed,0.002376,Baroque,7995,Negative
Low,17,bored,0.002126,Baroque,7995,Negative
Low,5,glad,0.000625,Baroque,7995,Positive
Low,3717,calm,0.894154,China_images,4157,Positive
Low,429,content,0.103199,China_images,4157,Positive
High,8,excited,0.001924,China_images,4157,Positive
High,1,alarmed,0.000241,China_images,4157,Negative
High,1,happy,0.000241,China_images,4157,Positive
Low,1,sad,0.000241,China_images,4157,Negative
Low,616,calm,0.539877,Color Field Painting,1141,Positive
High,384,excited,0.336547,Color Field Painting,1141,Positive
Low,93,content,0.081507,Color Field Painting,1141,Positive
Low,19,sad,0.016652,Color Field Painting,1141,Negative
High,7,alarmed,0.006135,Color Field Painting,1141,Negative
High,7,frustrated,0.006135,Color Field Painting,1141,Negative
High,6,happy,0.005259,Color Field Painting,1141,Positive
High,5,aroused,0.004382,Color Field Painting,1141,Positive
Low,3,bored,0.002629,Color Field Painting,1141,Negative
Low,1,glad,0.000876,Color Field Painting,1141,Positive
Low,284,calm,0.488812,Concretism,581,Positive
High,231,excited,0.39759,Concretism,581,Positive
Low,50,content,0.086059,Concretism,581,Positive
High,6,happy,0.010327,Concretism,581,Positive
High,3,aroused,0.005164,Concretism,581,Positive
High,2,annoyed,0.003442,Concretism,581,Negative
High,2,frustrated,0.003442,Concretism,581,Negative
Low,2,sad,0.003442,Concretism,581,Negative
Low,1,bored,0.001721,Concretism,581,Negative
Low,229,calm,0.503297,Constructivism,455,Positive
High,167,excited,0.367033,Constructivism,455,Positive
Low,24,content,0.052747,Constructivism,455,Positive
High,14,alarmed,0.030769,Constructivism,455,Negative
High,6,frustrated,0.013187,Constructivism,455,Negative
High,5,aroused,0.010989,Constructivism,455,Positive
Low,4,bored,0.008791,Constructivism,455,Negative
High,3,annoyed,0.006593,Constructivism,455,Negative
Low,2,sad,0.004396,Constructivism,455,Negative
Low,1,tired,0.002198,Constructivism,455,Negative
Low,859,calm,0.633014,Contemporary Realism,1357,Positive
Low,198,content,0.14591,Contemporary Realism,1357,Positive
Low,113,sad,0.083272,Contemporary Realism,1357,Negative
High,109,excited,0.080324,Contemporary Realism,1357,Positive
High,27,alarmed,0.019897,Contemporary Realism,1357,Negative
High,19,frustrated,0.014001,Contemporary Realism,1357,Negative
Low,12,bored,0.008843,Contemporary Realism,1357,Negative
High,9,happy,0.006632,Contemporary Realism,1357,Positive
High,4,annoyed,0.002948,Contemporary Realism,1357,Negative
High,4,aroused,0.002948,Contemporary Realism,1357,Positive
Low,3,tired,0.002211,Contemporary Realism,1357,Negative
Low,992,calm,0.406891,Cubism,2438,Positive
High,934,excited,0.383101,Cubism,2438,Positive
Low,259,content,0.106235,Cubism,2438,Positive
High,77,frustrated,0.031583,Cubism,2438,Negative
Low,58,sad,0.02379,Cubism,2438,Negative
High,51,alarmed,0.020919,Cubism,2438,Negative
Low,22,bored,0.009024,Cubism,2438,Negative
Low,16,tired,0.006563,Cubism,2438,Negative
High,12,aroused,0.004922,Cubism,2438,Positive
High,9,annoyed,0.003692,Cubism,2438,Negative
High,8,happy,0.003281,Cubism,2438,Positive
Low,112,calm,0.378378,Dada,296,Positive
High,63,excited,0.212838,Dada,296,Positive
Low,46,content,0.155405,Dada,296,Positive
High,25,alarmed,0.084459,Dada,296,Negative
High,22,frustrated,0.074324,Dada,296,Negative
Low,12,bored,0.040541,Dada,296,Negative
High,7,annoyed,0.023649,Dada,296,Negative
Low,6,sad,0.02027,Dada,296,Negative
Low,2,tired,0.006757,Dada,296,Negative
High,1,aroused,0.003378,Dada,296,Positive
Low,652,calm,0.683438,Early Renaissance,954,Positive
Low,116,content,0.121593,Early Renaissance,954,Positive
Low,70,sad,0.073375,Early Renaissance,954,Negative
High,64,excited,0.067086,Early Renaissance,954,Positive
High,31,alarmed,0.032495,Early Renaissance,954,Negative
High,13,frustrated,0.013627,Early Renaissance,954,Negative
High,5,aroused,0.005241,Early Renaissance,954,Positive
High,2,happy,0.002096,Early Renaissance,954,Positive
Low,1,tired,0.001048,Early Renaissance,954,Negative
Low,4201,calm,0.417387,Expressionism,10065,Positive
High,2160,excited,0.214605,Expressionism,10065,Positive
Low,1158,content,0.115052,Expressionism,10065,Positive
Low,941,sad,0.093492,Expressionism,10065,Negative
High,720,frustrated,0.071535,Expressionism,10065,Negative
High,523,alarmed,0.051962,Expressionism,10065,Negative
High,122,annoyed,0.012121,Expressionism,10065,Negative
High,76,happy,0.007551,Expressionism,10065,Positive
Low,73,tired,0.007253,Expressionism,10065,Negative
High,45,aroused,0.004471,Expressionism,10065,Positive
Low,45,bored,0.004471,Expressionism,10065,Negative
Low,1,glad,9.9e-05,Expressionism,10065,Positive
High,482,excited,0.532597,Fauvism,905,Positive
Low,243,calm,0.268508,Fauvism,905,Positive
Low,112,content,0.123757,Fauvism,905,Positive
High,27,happy,0.029834,Fauvism,905,Positive
High,16,frustrated,0.01768,Fauvism,905,Negative
Low,14,sad,0.01547,Fauvism,905,Negative
High,4,aroused,0.00442,Fauvism,905,Positive
High,3,annoyed,0.003315,Fauvism,905,Negative
High,2,alarmed,0.00221,Fauvism,905,Negative
Low,1,bored,0.001105,Fauvism,905,Negative
Low,1,glad,0.001105,Fauvism,905,Positive
High,151,excited,0.368293,Figurative Expressionism,410,Positive
Low,139,calm,0.339024,Figurative Expressionism,410,Positive
Low,45,content,0.109756,Figurative Expressionism,410,Positive
High,23,frustrated,0.056098,Figurative Expressionism,410,Negative
Low,22,sad,0.053659,Figurative Expressionism,410,Negative
High,11,alarmed,0.026829,Figurative Expressionism,410,Negative
High,8,happy,0.019512,Figurative Expressionism,410,Positive
High,5,annoyed,0.012195,Figurative Expressionism,410,Negative
