candidate_name,from,risk,same_quadrant,sample_id,to,transition
v14_public_resource_agsr_max,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0210,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
v14_public_resource_agsr_max,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0555,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
v14_public_resource_agsr_max,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0869,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
v14b_sameq_clip095,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0210,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
v14b_sameq_clip095,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0555,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
v14b_sameq_clip095,"{'emotion': 'frustrated', 'valence': 'Negative', 'arousal': 'High'}",same_quadrant,True,track2_0726,"{'emotion': 'alarmed', 'valence': 'Negative', 'arousal': 'High'}",frustrated->alarmed
v14b_sameq_clip095,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0869,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
v14b_sameq_clip095,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0871,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
v14b_sameq_clip095,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0914,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
v14b_sameq_clip094,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0021,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",calm->content
v14b_sameq_clip094,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0035,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
v14b_sameq_clip094,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0067,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
v14b_sameq_clip094,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0092,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",calm->content
v14b_sameq_clip094,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0185,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
v14b_sameq_clip094,"{'emotion': 'content', 'valence': 'Positive', 'arousal': 'Low'}",same_quadrant,True,track2_0191,"{'emotion': 'calm', 'valence': 'Positive', 'arousal': 'Low'}",content->calm
