sample_id,current_emotion,proposed_emotion,transition,risk_gate,priority_score,confidence,sources,public_neighbor_labels,same_valence,same_arousal,reason
track2_0207,content,calm,content->calm,allow_strong_consensus,6.7,0.85,"clip,dinov2,gemini35_specialist,multibackbone_consensus,public_neighbor_agreement,rag_teacher,siglip2",,True,True,"The gentle poses of the women looking out over the water and the soft, muted colors evoke a sense of quiet, peaceful stillness best described as calm."
track2_0269,content,calm,content->calm,allow_strong_consensus,6.7,0.85,"clip,dinov2,gemini35_specialist,multibackbone_consensus,public_neighbor_agreement,rag_teacher,siglip2",,True,True,"The serene landscape featuring Mount Fuji, the still water, and the muted, earthy color palette evoke a sense of calm stillness rather than active contentment."
track2_0539,content,calm,content->calm,allow_strong_consensus,6.7,0.85,"clip,gemini35_specialist,multibackbone_consensus,public_neighbor_agreement,rag_teacher,siglip2",,True,True,"The serene expression of the woman and the soft, delicate charcoal shading evoke a sense of quiet, peaceful calm rather than active contentment."
track2_0756,content,calm,content->calm,allow_strong_consensus,6.7,0.85,"clip,gemini35_specialist,multibackbone_consensus,public_neighbor_agreement,rag_teacher,siglip2",,True,True,"The serene depiction of a boy playing a flute while riding a water buffalo under a tree, rendered in soft ink washes and muted tones, evokes a deep sense of peaceful stillness and calm."
track2_0777,content,calm,content->calm,allow_strong_consensus,6.7,0.85,"clip,gemini35_specialist,multibackbone_consensus,public_neighbor_agreement,rag_teacher,siglip2",,True,True,"The quiet, static arrangement of scholarly objects and the muted, earthy color palette evoke a profound sense of calm stillness and meditative peace rather than active contentment."
track2_0946,content,calm,content->calm,allow_strong_consensus,6.7,0.85,"clip,gemini35_specialist,multibackbone_consensus,public_neighbor_agreement,rag_teacher,siglip2",,True,True,"The serene, quiet depiction of nature with muted colors and elegant, balanced composition evokes a sense of calm stillness rather than active contentment."
track2_0210,content,calm,content->calm,hold_needs_more_evidence,4.817063,0.967063,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",calm,True,True,
track2_0555,content,calm,content->calm,hold_needs_more_evidence,4.81074,0.96074,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",calm,True,True,
track2_0869,content,calm,content->calm,hold_needs_more_evidence,4.810524,0.960524,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",calm,True,True,
track2_0871,content,calm,content->calm,hold_needs_more_evidence,4.807567,0.957567,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",calm,True,True,
track2_0914,content,calm,content->calm,hold_needs_more_evidence,4.802827,0.952827,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",calm,True,True,
track2_0956,content,calm,content->calm,hold_needs_more_evidence,4.715907,0.865907,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0410,content,calm,content->calm,hold_needs_more_evidence,4.680776,0.830776,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0718,content,calm,content->calm,hold_needs_more_evidence,4.656466,0.806466,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0099,content,calm,content->calm,hold_needs_more_evidence,4.643806,0.793806,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0651,content,calm,content->calm,hold_needs_more_evidence,4.638968,0.788968,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0765,content,calm,content->calm,hold_needs_more_evidence,4.638351,0.788351,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0044,content,calm,content->calm,hold_needs_more_evidence,4.63318,0.78318,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0880,content,calm,content->calm,hold_needs_more_evidence,4.633169,0.783169,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0830,content,calm,content->calm,hold_needs_more_evidence,4.632145,0.782145,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0944,content,calm,content->calm,hold_needs_more_evidence,4.631004,0.781004,"clip,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0704,content,calm,content->calm,hold_needs_more_evidence,4.629179,0.779179,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0941,content,calm,content->calm,hold_needs_more_evidence,4.626759,0.776759,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0996,content,calm,content->calm,hold_needs_more_evidence,4.614003,0.764003,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0270,content,calm,content->calm,hold_needs_more_evidence,4.613472,0.763472,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0271,content,calm,content->calm,hold_needs_more_evidence,4.612479,0.762479,"clip,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0455,content,calm,content->calm,hold_needs_more_evidence,4.607141,0.757141,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0580,content,calm,content->calm,hold_needs_more_evidence,4.605085,0.755085,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0087,content,calm,content->calm,hold_needs_more_evidence,4.602131,0.752131,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0557,content,calm,content->calm,hold_needs_more_evidence,4.600277,0.750277,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0942,content,calm,content->calm,hold_needs_more_evidence,4.599026,0.749026,"clip,dinov2,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
track2_0125,content,calm,content->calm,hold_needs_more_evidence,4.597005,0.747005,"clip,multibackbone_consensus,public_neighbor_agreement,siglip2",,True,True,
