all_sources,current_arousal,current_emotion,current_label_issue_count,current_valence,exact_duplicate,failed_transition_count,max_confidence,model_sources,model_support_score,model_vote_count,near_duplicate,proposed_arousal,proposed_emotion,proposed_valence,public_duplicate_support_score,public_style_support_score,rationale,same_arousal,same_valence,sample_id,support_score,transition,v19_decision,v19_reasons,v19_score
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,0,0.950433,"clip,dinov2,siglip2",2.312308,3,True,High,excited,Positive,0.950433,0.573747,near_public_duplicate supports excited | near_public_duplicate supports excited,False,True,track2_0382,3.836488,content->excited,accept_candidate,meets_v19_thresholds,4.066488
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.812231,"clip,dinov2,siglip2",2.790692,3,False,Low,calm,Positive,0.0,0.748934,,True,False,track2_0505,3.539626,tired->calm,accept_candidate,meets_v19_thresholds,3.769626
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.960524,"clip,dinov2,siglip2",2.471994,3,True,Low,calm,Positive,0.960524,0.673441,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,track2_0869,4.105959,content->calm,accept_candidate,meets_v19_thresholds,3.535959
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.967328,"clip,dinov2,siglip2",2.339964,3,True,Low,calm,Positive,0.967328,0.719026,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,track2_0210,4.026318,content->calm,accept_candidate,meets_v19_thresholds,3.456318
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.96074,"clip,dinov2,siglip2",2.41318,3,True,Low,calm,Positive,0.96074,0.625225,near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,track2_0555,3.999145,content->calm,accept_candidate,meets_v19_thresholds,3.429145
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.957695,"clip,dinov2,siglip2",2.250468,3,True,Low,calm,Positive,0.957695,0.701004,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,track2_0871,3.909167,content->calm,accept_candidate,meets_v19_thresholds,3.339167
"clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",Low,content,0,Positive,False,20,0.952827,"clip,dinov2,siglip2",2.306019,3,True,Low,calm,Positive,0.952827,0.610013,near_public_duplicate supports calm | near_public_duplicate supports calm,True,True,track2_0914,3.868859,content->calm,accept_candidate,meets_v19_thresholds,3.298859
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,3,0.822765,"clip,dinov2,siglip2",2.598094,3,False,Low,sad,Negative,0.0,0.531637,,True,True,track2_0196,3.129731,tired->sad,accept_candidate,meets_v19_thresholds,3.239731
"clip,dinov2,public_clean,public_inclusive,siglip2",High,annoyed,0,Negative,False,0,0.699742,"clip,dinov2,siglip2",2.360111,3,False,Low,calm,Positive,0.0,0.596491,,False,False,track2_0441,2.956602,annoyed->calm,accept_candidate,meets_v19_thresholds,3.186602
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,0,0.867206,"clip,dinov2,siglip2",2.43226,3,False,High,excited,Positive,0.0,0.485281,,False,True,track2_0779,2.917541,content->excited,accept_candidate,meets_v19_thresholds,3.147541
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,sad,0,Negative,False,0,0.691262,"clip,dinov2,siglip2",2.224587,3,False,Low,calm,Positive,0.0,0.65955,,True,False,track2_0618,2.884137,sad->calm,accept_candidate,meets_v19_thresholds,3.114137
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,3,0.789427,"clip,dinov2,siglip2",2.311161,3,False,Low,sad,Negative,0.0,0.644926,,True,True,track2_0063,2.956087,tired->sad,accept_candidate,meets_v19_thresholds,3.066087
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,calm,0,Positive,False,0,0.805333,"clip,dinov2,siglip2",2.252189,3,False,Low,tired,Negative,0.0,0.562264,,True,False,track2_0925,2.814453,calm->tired,accept_candidate,meets_v19_thresholds,3.044453
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,content,0,Positive,False,0,0.68756,"clip,dinov2,siglip2",2.220685,3,False,High,excited,Positive,0.0,0.591742,,False,True,track2_0998,2.812427,content->excited,accept_candidate,meets_v19_thresholds,3.042427
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.668029,"clip,dinov2,siglip2",2.141863,3,False,Low,bored,Negative,0.0,0.600664,,True,True,track2_0504,2.742527,tired->bored,accept_candidate,meets_v19_thresholds,2.972527
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,3,0.672189,"clip,dinov2,siglip2",2.285597,3,False,Low,sad,Negative,0.0,0.528192,,True,True,track2_0233,2.813789,tired->sad,accept_candidate,meets_v19_thresholds,2.923789
"clip,dinov2,public_clean,public_inclusive,siglip2",High,annoyed,0,Negative,False,0,0.686459,"clip,dinov2,siglip2",2.00115,3,False,Low,calm,Positive,0.0,0.651781,,False,False,track2_0806,2.652931,annoyed->calm,accept_candidate,meets_v19_thresholds,2.882931
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,sad,0,Negative,False,0,0.637413,"clip,dinov2,siglip2",1.994005,3,False,Low,calm,Positive,0.0,0.523445,,True,False,track2_0627,2.51745,sad->calm,accept_candidate,meets_v19_thresholds,2.74745
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,calm,0,Positive,False,0,0.72914,"clip,dinov2,siglip2",1.832689,3,False,Low,bored,Negative,0.0,0.679063,,True,False,track2_0319,2.511752,calm->bored,accept_candidate,meets_v19_thresholds,2.741752
"clip,dinov2,public_clean,public_inclusive,siglip2",High,alarmed,0,Negative,False,0,0.729156,"clip,dinov2,siglip2",1.875804,3,False,Low,sad,Negative,0.0,0.592038,,False,True,track2_0030,2.467842,alarmed->sad,accept_candidate,meets_v19_thresholds,2.697842
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.69046,"clip,dinov2,siglip2",1.837752,3,False,Low,calm,Positive,0.0,0.618481,,True,False,track2_0211,2.456233,tired->calm,accept_candidate,meets_v19_thresholds,2.686233
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.700287,"clip,dinov2,siglip2",1.926867,3,False,Low,calm,Positive,0.0,0.48523,,True,False,track2_0056,2.412097,tired->calm,accept_candidate,meets_v19_thresholds,2.642097
"clip,dinov2,public_clean,public_inclusive,siglip2",High,annoyed,0,Negative,False,0,0.666584,"clip,dinov2,siglip2",1.76156,3,False,Low,calm,Positive,0.0,0.62926,,False,False,track2_0369,2.39082,annoyed->calm,accept_candidate,meets_v19_thresholds,2.62082
"clip,dinov2,public_clean,public_inclusive,siglip2",High,excited,0,Positive,False,1,0.669219,"clip,dinov2,siglip2",1.861262,3,False,High,happy,Positive,0.0,0.534506,,True,True,track2_0964,2.395768,excited->happy,accept_candidate,meets_v19_thresholds,2.585768
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.699128,"clip,dinov2,siglip2",1.816079,3,False,Low,bored,Negative,0.0,0.526687,,True,True,track2_0575,2.342766,tired->bored,accept_candidate,meets_v19_thresholds,2.572766
"clip,dinov2,public_clean,public_inclusive,siglip2",High,happy,0,Positive,False,0,0.641081,"clip,dinov2,siglip2",1.849568,3,False,Low,calm,Positive,0.0,0.489769,,False,True,track2_0974,2.339337,happy->calm,accept_candidate,meets_v19_thresholds,2.569337
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,3,0.676176,"clip,dinov2,siglip2",1.905413,3,False,Low,sad,Negative,0.0,0.553317,,True,True,track2_0930,2.45873,tired->sad,accept_candidate,meets_v19_thresholds,2.56873
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.548471,"clip,dinov2,siglip2",1.818386,3,False,Low,content,Positive,0.0,0.500883,,True,False,track2_0163,2.319269,tired->content,accept_candidate,meets_v19_thresholds,2.549269
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.644785,"clip,dinov2,siglip2",1.853406,3,False,Low,calm,Positive,0.0,0.46369,,True,False,track2_0345,2.317096,tired->calm,accept_candidate,meets_v19_thresholds,2.547096
"dinov2,public_clean,public_inclusive,siglip2",Low,calm,0,Positive,False,0,0.726506,"dinov2,siglip2",1.653739,2,False,High,excited,Positive,0.0,0.560392,,False,True,track2_0090,2.214131,calm->excited,accept_candidate,meets_v19_thresholds,2.444131
"clip,dinov2,public_clean,public_inclusive,siglip2",High,excited,0,Positive,False,0,0.617989,"clip,dinov2,siglip2",1.802253,3,False,Low,calm,Positive,0.0,0.405046,,False,True,track2_0361,2.207299,excited->calm,accept_candidate,meets_v19_thresholds,2.437299
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,sad,0,Negative,False,0,0.604838,"clip,dinov2,siglip2",1.587317,3,False,Low,calm,Positive,0.0,0.567545,,True,False,track2_0213,2.154862,sad->calm,accept_candidate,meets_v19_thresholds,2.384862
"clip,dinov2,public_clean,public_inclusive,siglip2",High,alarmed,0,Negative,False,0,0.669499,"clip,dinov2,siglip2",1.572148,3,False,Low,sad,Negative,0.0,0.539972,,False,True,track2_0008,2.11212,alarmed->sad,accept_candidate,meets_v19_thresholds,2.34212
"clip,dinov2,public_clean,public_inclusive,siglip2",High,aroused,0,Positive,False,1,0.712512,"clip,dinov2,siglip2",1.812027,3,False,High,excited,Positive,0.0,0.301281,,True,True,track2_0982,2.113308,aroused->excited,accept_candidate,meets_v19_thresholds,2.303308
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,tired,0,Negative,False,0,0.523817,"clip,dinov2,siglip2",1.599594,3,False,Low,calm,Positive,0.0,0.464723,,True,False,track2_0611,2.064317,tired->calm,accept_candidate,meets_v19_thresholds,2.294317
"clip,dinov2,public_clean,public_inclusive,siglip2",Low,sad,0,Negative,False,0,0.517166,"clip,dinov2,siglip2",1.61299,3,False,High,frustrated,Negative,0.0,0.443662,,False,True,track2_0943,2.056652,sad->frustrated,accept_candidate,meets_v19_thresholds,2.286652
