anchor_key,track,anchor_type,calibration_kind,participant,candidate_name,submission_id,anchor_submission_id,file_name,local_package,local_fid_like,official_overall,official_fid,official_fid_score,official_aas,official_classification,official_description,json_path,warnings,source_refs,notes
track1:740721,track1,official_score,public_or_api_official,edaich,,740721,,submission.zip,,,0.7748755042,78.58705223,0.5599510085,0.9898,,,,,track1_anchor_csv;track1_api,Visible Track1 leaderboard context from Codabench snapshot.
track1:744030,track1,official_score,public_leaderboard,EmoVCC,,744030,,,,,0.66,130.53,0.43,0.89,,,,,track1_anchor_csv,Older public Codabench crawl row used to widen FID-score fit range.
track1:749402,track1,official_score,public_or_api_official,nullc,,749402,,submission.zip,,,0.7668935474,85.41852819,0.5393204281,0.9944666667,,,,,track1_api,
track1:751157,track1,official_score,public_or_api_official,laizhq,,751157,,submission_1.zip,,,0.7708623935,80.72023945,0.5533414537,0.9883833333,,,,,track1_api,
track1:755551,track1,official_score,public_or_api_official,zhbai,,755551,,submission.zip,,,0.6474966133,130.772838,0.4333265599,0.8616666667,,,,,track1_api,
track1:773069,track1,official_score,public_or_api_official,zzixuan,,773069,,submission.zip,,,0.6760535843,107.0791376,0.4829071686,0.8692,,,,,track1_api,
track1:774153,track1,official_score,public_or_api_official,labbbb,,774153,,submission.zip,,,0.6838202493,107.079139,0.4829071653,0.8847333333,,,,,track1_api,
track1:776946,track1,official_score,public_or_api_official,gaozheng,,776946,,submission_wo_lora.zip,,,0.6909487214,124.6530803,0.4451307762,0.9367666667,,,,,track1_api,
track1:777611,track1,official_score,public_or_api_official,trybest-1,,777611,,submission.zip,,,0.7964185295,66.84174138,0.5993703924,0.9934666667,,,,,track1_api,
track1:778783,track1,official_score,public_or_api_official,emosuis,,778783,,submission.zip,,,0.7969073906,66.3621921,0.6010981145,0.9927166667,,,,,track1_api,
track1:781205,track1,official_score,public_or_api_official,echoes_42,,781205,,submission.zip,,,0.7143464361,122.0283805,0.4503928722,0.9783,,,,,track1_api,
track1:782831,track1,official_score,own_official,vulcaart,,782831,,track1_submit_v3_gate7_20260606.zip,v3_gate7,63.010429,0.77,80.92,0.55,0.98,,,,,track1_anchor_csv,Our only Track1 component-score anchor with local fid_like from fid_sanity_smoke2048_dim512.
track1:784114,track1,official_score,public_or_api_official,yanghaoming,,784114,,track1_ckpt4000_best_fid71p428_subm.zip,,,0.6775457412,112.1604054,0.4713414825,0.88375,,,,,track1_api,
track1:784403,track1,official_score,own_official,vulcaart,,784403,,hybrid_probe_redteam_fid_pass4.zip,hybrid_redteam_fid_pass4,58.348904,0.7396402011,105.663816,0.4862304023,0.99305,,,,,track1_anchor_csv;track1_api,Official probe result: AAS improved but FID worsened; package lineage was 996 old current images plus 4 full1000 replacements
track1:top_visible_1,track1,official_score,public_leaderboard,emosuis,,top_visible_1,,,,,0.8,66.36,0.6,0.99,,,,,track1_anchor_csv,Visible Track1 leaderboard context from Codabench snapshot.
track1:top_visible_2,track1,official_score,public_leaderboard,trybest-1,,top_visible_2,,,,,0.8,66.84,0.6,0.99,,,,,track1_anchor_csv,Visible Track1 leaderboard context from Codabench snapshot.
track1:top_visible_4,track1,official_score,public_leaderboard,VIRLab,,top_visible_4,,,,,0.77,80.72,0.55,0.99,,,,,track1_anchor_csv,Visible Track1 leaderboard context from Codabench snapshot.
track1:top_visible_5,track1,official_score,public_leaderboard,Latent Feeling,,top_visible_5,,,,,0.77,85.42,0.54,0.99,,,,,track1_anchor_csv,Visible Track1 leaderboard context from Codabench snapshot.
track2_estimated:v22_calmshift120,track2,estimated_candidate,estimated,,v22_calmshift120,,779605,,,,0.846335,,,,0.743002,0.949667,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v22_official_author_calmshift120_candidate.json,not_hidden_label_reconstruction,track2_official_anchor_scoreboard,Estimated from existing v22 candidate report projection.
track2_estimated:v22_calmshift150,track2,estimated_candidate,estimated,,v22_calmshift150,,779605,,,,0.847352,,,,0.745038,0.949667,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v22_official_author_calmshift150_candidate.json,not_hidden_label_reconstruction,track2_official_anchor_scoreboard,Estimated from existing v22 candidate report projection.
track2_estimated:v22_calmshiftall,track2,estimated_candidate,estimated,,v22_calmshiftall,,779605,,,,0.848163,,,,0.746659,0.949667,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v22_official_author_calmshiftall_candidate.json,not_hidden_label_reconstruction,track2_official_anchor_scoreboard,Estimated from existing v22 candidate report projection.
track2:779605,track2,official_score,exact_official,,official_779605_moe_v2_anchor,779605,779605,track2_submission_moe_v2_accept5_candidate.zip,,,0.836408,,,,0.72315,0.949667,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_moe_v2_accept5_candidate.json,,track2_exact_scores;track2_official_anchor_scoreboard,First scored anchor.
track2:781601,track2,official_score,exact_official,,official_781601_v3_mid,781601,781601,track2_submission_v3_mid_gemini35_desc_192_candidate.zip,,,0.834027,,,,0.719137,0.948917,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v3_mid_gemini35_desc_192_candidate.json,,track2_exact_scores;track2_official_anchor_scoreboard,precalibration v3/v9 aggressive same-quadrant batch; official result exposed scorer over-reward
track2:782683,track2,official_score,visible_official,,official_782683_v12_stable_probe,782683,782683,,,,0.835833,,,,0.721667,0.95,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v12_stable_probe_candidate.json,exact_unavailable_visible_leaderboard_only,track2_official_anchor_scoreboard,Only rounded leaderboard score is visible; detailed components are rounded leaderboard fields.
track2:785979,track2,official_score,exact_official,,official_785979_v21_calmshift90,785979,785979,track2_submission_v21_calmshift90_candidate.zip,,,0.842559,,,,0.740034,0.945083,/Users/yhryzy/dev/emoart-130k/submissions/track2_submission_v21_calmshift90_candidate.json,,track2_exact_scores;track2_official_anchor_scoreboard,Directional 90x content->calm probe; classification improved but page still rounds to 0.84.
