clip_cosine,current_arousal,current_emotion,current_valence,dhash_distance,duplicate_bucket,evidence_level,neighbor_count,public_description,public_member,public_request_id,salient_attributes,same_quadrant,sample_id,sources,target_arousal,target_emotion,target_valence,topk_majority_count,transition
0.845613,Low,sad,Negative,99,,style_prior_only,10,,Orientalism/0178973_ThéodoreRalli-DrawingforthenovelbyDimitriosVikelas'LoukisLaras'.jpg,Orientalism_request-867,"composition,color",False,track2_0001,public_duplicate,Low,calm,Positive,9,sad->calm
0.934464,Low,calm,Positive,99,,same_series_style,10,,China_images/GetImageUmLDYaLUtjQyGBeWhodPPUhq.jpeg,China_images_request-4340,"composition,color",True,track2_0002,public_duplicate,Low,calm,Positive,8,calm->calm
0.921365,High,excited,Positive,99,,style_prior_only,10,,Korea/koo002992-000-90000.jpg,Korea_request-219,"composition,color",False,track2_0003,public_duplicate,Low,calm,Positive,7,excited->calm
0.885214,Low,content,Positive,99,,style_prior_only,10,,Ukiyo-e/0074782_TsukiokaYoshitoshi-Onogawa.jpg,Ukiyo-e_request-339,"composition,color",False,track2_0004,public_duplicate,High,excited,Positive,3,content->excited
0.901473,Low,calm,Positive,99,,style_prior_only,10,,Expressionism/0111510_PietroLazzari-AdamandEve(11).jpg,Expressionism_request-6258,"composition,color",True,track2_0005,public_duplicate,Low,calm,Positive,4,calm->calm
0.961802,Low,calm,Positive,24,strong_neighbor_ge095,near_same_work,12,"The image depicts a serene landscape with towering mountains and lush vegetation. The scene is set against a muted background, with intricate detailing of trees and gentle flowing water, exuding an aura of tranquility and timelessness.",China_images/FS-5818_09.jpg,China_images_request-1054,"composition,color",True,track2_0006,public_duplicate,Low,calm,Positive,12,calm->calm
0.924169,High,excited,Positive,99,,style_prior_only,10,,Cubism/0103903_LyonelFeininger-MarinefromTheFirstPortfolio(DieersteMappe).jpg,Cubism_request-1395,"composition,color",True,track2_0007,public_duplicate,High,excited,Positive,2,excited->excited
0.884267,High,alarmed,Negative,99,,style_prior_only,10,,Romanticism/0057106_MariàFortuny-Arabwatchingoverthebodyofafriend.jpg,Romanticism_request-4716,"composition,color",False,track2_0008,public_duplicate,Low,sad,Negative,4,alarmed->sad
0.892359,Low,content,Positive,99,,style_prior_only,10,,China_images/GetImageYJGobWVMFXGrGECbTvsMmOWh.jpeg,China_images_request-1749,"composition,color",True,track2_0009,public_duplicate,Low,calm,Positive,7,content->calm
0.946585,Low,calm,Positive,16,style_neighbor_review,same_series_style,11,,China_images/GetImageEUgSzZjovolVwZlkYNRdGOOy.jpeg,China_images_request-2483,"composition,color",True,track2_0010,public_duplicate,Low,calm,Positive,11,calm->calm
0.912287,High,happy,Positive,99,,style_prior_only,10,,China_images/GetImageIEQGiKAmLuTiYiQzsWOidQkx.jpeg,China_images_request-2857,"composition,color",False,track2_0011,public_duplicate,Low,calm,Positive,8,happy->calm
0.850959,Low,content,Positive,99,,style_prior_only,10,,Ukiyo-e/0076388_TsukiokaYoshitoshi-PostalTengu.jpg,Ukiyo-e_request-346,"composition,color",False,track2_0012,public_duplicate,High,excited,Positive,2,content->excited
0.943639,Low,calm,Positive,23,style_neighbor_review,same_series_style,11,,China_images/GetImageoHccBldCvgPlXqvPpqGcSCbu.jpeg,China_images_request-3595,"composition,color",True,track2_0013,public_duplicate,Low,calm,Positive,11,calm->calm
0.872778,Low,sad,Negative,99,,style_prior_only,10,,"Romanticism/0139937_JohnEverettMillais-Swallow,Swallow.jpg",Romanticism_request-12276,"composition,color",False,track2_0014,public_duplicate,Low,calm,Positive,7,sad->calm
0.912737,Low,calm,Positive,99,,style_prior_only,10,,Mannerism (Late Renaissance)/0121941_JanSaenredam-AdamandEve.jpg,Mannerism (Late Renaissance)_request-1480,"composition,color",False,track2_0015,public_duplicate,Low,sad,Negative,3,calm->sad
0.92485,Low,calm,Positive,99,,style_prior_only,10,,China_images/GetImageNpKzqvGfYiPrmaWYCRUMRAoC.jpeg,China_images_request-3524,"composition,color",True,track2_0016,public_duplicate,Low,content,Positive,1,calm->content
0.874659,Low,content,Positive,99,,style_prior_only,10,,Baroque/0108075_AdamElsheimer-MercuryandHerse.jpg,Baroque_request-4789,"composition,color",True,track2_0017,public_duplicate,Low,content,Positive,5,content->content
0.925836,High,frustrated,Negative,99,,style_prior_only,10,,Cubism/0101806_JacquesVillon-PortraitofanActor(FélixBarré).jpg,Cubism_request-1367,"composition,color",True,track2_0018,public_duplicate,High,frustrated,Negative,3,frustrated->frustrated
0.897893,Low,calm,Positive,99,,style_prior_only,10,,Early Renaissance/0132513_PietroPerugino-TheAdorationoftheMagi.jpg,Early Renaissance_request-690,"composition,color",True,track2_0019,public_duplicate,Low,content,Positive,4,calm->content
0.919226,Low,content,Positive,99,,style_prior_only,10,,China_images/FS-7112_07.jpg,China_images_request-1393,"composition,color",True,track2_0020,public_duplicate,Low,calm,Positive,9,content->calm
0.940319,Low,calm,Positive,25,style_neighbor_review,same_series_style,11,,China_images/GetImagentDOjVKwrGWCuTtwPDfFRxkS.jpeg,China_images_request-3542,"composition,color",True,track2_0021,public_duplicate,Low,content,Positive,2,calm->content
