sample_id,current_emotion,proposed_emotion,transition,current_valence,current_arousal,proposed_valence,proposed_arousal,same_valence,same_arousal,model_vote_count,model_sources,all_sources,support_score,model_support_score,public_style_support_score,public_duplicate_support_score,max_confidence,exact_duplicate,near_duplicate,failed_transition_count,current_label_issue_count,rationale
track2_0869,content,calm,content->calm,Positive,Low,Positive,Low,True,True,3,"clip,dinov2,siglip2","clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",4.105959,2.471994,0.673441,0.960524,0.960524,False,True,20,0,near_public_duplicate supports calm | near_public_duplicate supports calm
track2_0210,content,calm,content->calm,Positive,Low,Positive,Low,True,True,3,"clip,dinov2,siglip2","clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",4.026318,2.339964,0.719026,0.967328,0.967328,False,True,20,0,near_public_duplicate supports calm | near_public_duplicate supports calm
track2_0555,content,calm,content->calm,Positive,Low,Positive,Low,True,True,3,"clip,dinov2,siglip2","clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",3.999145,2.41318,0.625225,0.96074,0.96074,False,True,20,0,near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm | near_public_duplicate supports calm
track2_0871,content,calm,content->calm,Positive,Low,Positive,Low,True,True,3,"clip,dinov2,siglip2","clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",3.909167,2.250468,0.701004,0.957695,0.957695,False,True,20,0,near_public_duplicate supports calm | near_public_duplicate supports calm
track2_0914,content,calm,content->calm,Positive,Low,Positive,Low,True,True,3,"clip,dinov2,siglip2","clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",3.868859,2.306019,0.610013,0.952827,0.952827,False,True,20,0,near_public_duplicate supports calm | near_public_duplicate supports calm
track2_0382,content,excited,content->excited,Positive,Low,Positive,High,True,False,3,"clip,dinov2,siglip2","clip,dinov2,public_clean,public_inclusive,public_near_public_duplicate,siglip2",3.836488,2.312308,0.573747,0.950433,0.950433,False,True,0,0,near_public_duplicate supports excited | near_public_duplicate supports excited
track2_0505,tired,calm,tired->calm,Negative,Low,Positive,Low,False,True,3,"clip,dinov2,siglip2","clip,dinov2,public_clean,public_inclusive,siglip2",3.539626,2.790692,0.748934,0.0,0.812231,False,False,0,0,
track2_0765,content,calm,content->calm,Positive,Low,Positive,Low,True,True,3,"clip,dinov2,siglip2","clip,dinov2,public_clean,public_inclusive,siglip2",3.45764,2.674845,0.782795,0.0,0.788351,False,False,20,0,
track2_0651,content,calm,content->calm,Positive,Low,Positive,Low,True,True,3,"clip,dinov2,siglip2","clip,dinov2,public_clean,public_inclusive,siglip2",3.453393,2.674829,0.778564,0.0,0.788968,False,False,20,0,
track2_0956,content,calm,content->calm,Positive,Low,Positive,Low,True,True,3,"clip,dinov2,siglip2","clip,dinov2,public_clean,public_inclusive,siglip2",3.452966,2.597926,0.85504,0.0,0.865907,False,False,20,0,
